gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div
ACD	17	5	2	1	160.71	321.42	15	1	1	0.411764705882353	1	0.106060606060606	3	22
ACE	10	21	4	4	347.49	694.98	15	1	0.423711637333928	-1.1	1	-0.17741935483871	8	31
ACE2	14	8	1	1	269.28	538.56	15	1	1	0.428571428571429	1	0.136363636363636	2	22
ACER3	1	3	0	0	81.18	162.36	15	1	1	NA	1	NA	0	4
ACKR1	0	2	0	0	16.83	33.66	15	1	1	NA	1	NA	0	2
ACKR3	1	10	0	1	122.76	245.52	15	1	1	1	1	0.0909090909090909	1	11
ACKR4	1	8	1	1	106.92	213.84	15	1	0.345454545454545	-7	1	-0.388888888888889	2	9
ACLY	0	14	0	5	292.05	584.1	15	1	1	NA	1	0	5	14
ACMSD	0	2	0	1	89.43	178.86	15	1	1	NA	1	0	1	2
ACO1	1	10	0	3	244.86	489.72	15	1	1	1	1	0.0909090909090909	3	11
ACO2	0	19	0	5	258.72	517.44	15	1	1	NA	1	0	5	19
ACOD1	2	5	1	1	157.74	315.48	15	1	1	-1.5	1	-0.214285714285714	2	7
ACOT11	0	3	0	2	44.55	89.1	15	1	1	NA	1	0	2	3
ACOT12	3	6	1	0	116.49	232.98	15	1	0.4	-Inf	1	-0.666666666666667	1	9
ACOT13	1	1	0	1	33.33	66.66	15	1	1	1	1	0.5	1	2
ACOT2L	0	5	0	1	85.8	171.6	15	1	1	NA	1	0	1	5
ACOT4	7	10	3	3	211.53	423.06	15	1	1	-0.428571428571429	1	-0.0882352941176471	6	17
ACOT7	0	4	0	0	47.52	95.04	15	1	1	NA	1	NA	0	4
ACOT8	1	0	2	0	30.36	60.72	15	1	1	NA	1	0	2	1
ACOT9	2	9	0	0	147.51	295.02	15	1	1	NA	1	NA	0	11
ACOX1	12	19	4	4	420.42	840.84	15	1	0.693720870191458	-0.583333333333333	1	-0.112903225806452	8	31
ACOX2	9	4	0	0	246.51	493.02	15	1	1	NA	1	NA	0	13
ACOX3	6	9	0	3	213.84	427.68	15	1	0.514705882352941	1	1	0.4	3	15
ACP6	1	3	0	1	105.27	210.54	15	1	1	1	1	0.25	1	4
ACPP	6	2	0	0	115.5	231	15	1	1	NA	1	NA	0	8
ACR-ACRL	12	8	1	2	194.7	389.4	15	1	0.55957086391869	0.666666666666667	1	0.266666666666667	3	20
ACRBP	5	7	0	1	90.09	180.18	15	1	1	1	1	0.416666666666667	1	12
ACSBG1	3	10	1	0	223.08	446.16	15	1	0.285714285714286	-Inf	1	-0.769230769230769	1	13
ACSF2	7	9	2	3	110.88	221.76	15	1	1	0.142857142857143	1	0.0375	5	16
ACSF3	10	13	4	4	149.82	299.64	15	1	1	-0.3	1	-0.0652173913043478	8	23
ACSL3	5	10	1	2	202.95	405.9	15	1	1	0	1	0	3	15
ACSL4	1	7	0	0	180.18	360.36	15	1	1	NA	1	NA	0	8
ACSL5	5	7	0	2	225.39	450.78	15	1	0.505494505494505	1	1	0.416666666666667	2	12
ACSL6	0	10	0	1	163.35	326.7	15	1	1	NA	1	0	1	10
ACSM3	6	11	0	1	189.42	378.84	15	1	1	1	1	0.352941176470588	1	17
ACSS1	1	9	0	3	200.97	401.94	15	1	1	1	1	0.1	3	10
ACSS3	20	4	0	1	155.76	311.52	15	1	0.2	1	1	0.833333333333333	1	24
ACT85CL	3	5	0	0	90.75	181.5	15	1	1	NA	1	NA	0	8
ACTA2	0	2	0	0	93.72	187.44	15	1	1	NA	1	NA	0	2
ACTB	0	2	0	0	87.12	174.24	15	1	1	NA	1	NA	0	2
ACTBL2L	0	3	0	1	134.97	269.94	15	1	1	NA	1	0	1	3
ACTC1	0	4	0	0	118.8	237.6	15	1	1	NA	1	NA	0	4
ACTC2L	0	11	0	4	83.82	167.64	15	1	1	NA	1	0	4	11
ACTG1	0	2	0	1	56.1	112.2	15	1	1	NA	1	0	1	2
ACTG2	0	3	0	0	56.1	112.2	15	1	1	NA	1	NA	0	3
ACTL6A	1	6	0	0	114.84	229.68	15	1	1	NA	1	NA	0	7
ACTN1	0	7	0	1	263.67	527.34	15	1	1	NA	1	0	1	7
ACTN2	1	5	1	0	288.09	576.18	15	1	0.285714285714286	-Inf	1	-0.833333333333333	1	6
ACTR10-ACTR10L	1	7	0	3	126.72	253.44	15	1	1	1	1	0.125	3	8
ACTR1A	1	8	1	3	125.4	250.8	15	1	1	-1.66666666666667	1	-0.138888888888889	4	9
ACTR2	0	2	0	1	116.82	233.64	15	1	1	NA	1	0	1	2
ACTR3	0	2	0	0	120.45	240.9	15	1	1	NA	1	NA	0	2
ACTR3B	0	2	0	0	72.27	144.54	15	1	1	NA	1	NA	0	2
ACTR5	0	10	0	3	128.7	257.4	15	1	1	NA	1	0	3	10
ACTR8	0	4	0	0	141.9	283.8	15	1	1	NA	1	NA	0	4
ACTRT2	10	8	1	1	126.72	253.44	15	1	1	0.2	1	0.0555555555555556	2	18
ACVR1	0	3	0	0	161.04	322.08	15	1	1	NA	1	NA	0	3
ACVR1B	0	11	0	2	141.24	282.48	15	1	1	NA	1	0	2	11
ACVR1C	2	10	1	4	131.01	262.02	15	1	1	-0.25	1	-0.0333333333333334	5	12
ACVR2A	1	12	1	2	175.23	350.46	15	1	0.35	-5	1	-0.256410256410256	3	13
ACVRL1	0	3	0	1	43.23	86.46	15	1	1	NA	1	0	1	3
ACY1	0	2	0	1	45.21	90.42	15	1	1	NA	1	0	1	2
ADA	3	4	1	2	84.15	168.3	15	1	1	0.333333333333333	1	0.0952380952380952	3	7
ADAD1	7	13	2	1	212.85	425.7	15	1	0.537549407114625	-2.71428571428571	1	-0.316666666666667	3	20
ADAL	2	3	0	1	91.41	182.82	15	1	1	1	1	0.4	1	5
ADAM10	0	6	0	1	218.13	436.26	15	1	1	NA	1	0	1	6
ADAM12	3	10	1	4	258.06	516.12	15	1	1	0.166666666666667	1	0.0307692307692308	5	13
ADAM15	9	13	7	5	196.02	392.04	15	1	0.475397784978478	-1.02222222222222	1	-0.174242424242424	12	22
ADAM17	3	14	0	4	262.02	524.04	15	1	1	1	1	0.176470588235294	4	17
ADAM19	7	9	3	0	198.66	397.32	15	1	0.210526315789474	-Inf	1	-0.5625	3	16
ADAM20	25	23	3	9	290.73	581.46	15	1	0.115479211394049	0.693333333333333	1	0.270833333333333	12	48
ADAM22	1	10	0	2	287.76	575.52	15	1	1	1	1	0.0909090909090909	2	11
ADAM23	3	6	0	0	272.58	545.16	15	1	1	NA	1	NA	0	9
ADAM28	10	13	1	0	225.39	450.78	15	1	0.458333333333333	-Inf	1	-0.565217391304348	1	23
ADAM33	4	17	1	8	170.94	341.88	15	1	1	0.46875	1	0.0793650793650794	9	21
ADAM5P	5	12	1	3	197.01	394.02	15	1	1	0.2	1	0.0441176470588235	4	17
ADAM8	25	10	0	0	184.14	368.28	15	1	1	NA	1	NA	0	35
ADAM9	10	12	4	0	287.1	574.2	15	1	0.100066889632107	-Inf	1	-0.545454545454545	4	22
ADAM9L-LOC100857794	6	3	0	0	84.15	168.3	15	1	1	NA	1	NA	0	9
ADAMTS1	1	27	0	2	203.94	407.88	15	1	1	1	1	0.0357142857142857	2	28
ADAMTS12	9	17	0	0	394.02	788.04	15	1	1	NA	1	NA	0	26
ADAMTS13	23	18	7	0	472.23	944.46	15	1	0.0356454852507173	-Inf	1	-0.439024390243902	7	41
ADAMTS15	0	14	0	6	119.46	238.92	15	1	1	NA	1	0	6	14
ADAMTS17	1	8	1	0	355.41	710.82	15	1	0.2	-Inf	1	-0.888888888888889	1	9
ADAMTS18	3	11	0	0	380.16	760.32	15	1	1	NA	1	NA	0	14
ADAMTS19	5	5	1	0	194.7	389.4	15	1	1	-Inf	1	-0.5	1	10
ADAMTS20	17	22	2	1	503.58	1007.16	15	1	0.581271777003484	-1.58823529411765	1	-0.230769230769231	3	39
ADAMTS5	1	9	0	0	224.73	449.46	15	1	1	NA	1	NA	0	10
ADAMTS6	5	8	1	0	355.74	711.48	15	1	0.428571428571428	-Inf	1	-0.615384615384615	1	13
ADAMTS7	11	30	2	7	416.13	832.26	15	1	1	0.220779220779221	1	0.0460704607046071	9	41
ADAMTS8	1	12	1	6	133.32	266.64	15	1	1	-1	1	-0.0659340659340659	7	13
ADAMTS9	4	21	1	8	516.78	1033.56	15	1	1	0.34375	1	0.0488888888888889	9	25
ADAMTSL2	4	13	1	6	162.36	324.72	15	1	1	0.458333333333333	1	0.092436974789916	7	17
ADAMTSL2L	9	8	2	1	305.25	610.5	15	1	1	-0.777777777777778	1	-0.137254901960784	3	17
ADAMTSL3	8	14	2	1	584.43	1168.86	15	1	0.543478260869565	-2.5	1	-0.303030303030303	3	22
ADAMTSL5	1	5	1	2	36.63	73.26	15	1	1	-1.5	1	-0.166666666666667	3	6
ADAP1	0	2	0	0	96.03	192.06	15	1	1	NA	1	NA	0	2
ADAP2	3	2	1	0	100.65	201.3	15	1	1	-Inf	1	-0.4	1	5
ADAR	16	27	4	4	361.68	723.36	15	1	0.695807506418596	-0.6875	1	-0.127906976744186	8	43
ADARB1	2	5	2	0	193.05	386.1	15	1	0.166666666666667	-Inf	1	-0.714285714285714	2	7
ADARB2	3	4	1	2	185.79	371.58	15	1	1	0.333333333333333	1	0.0952380952380952	3	7
ADAT1	11	14	5	1	178.2	356.4	15	1	0.171919416635768	-5.36363636363636	1	-0.393333333333333	6	25
ADAT2	0	2	0	0	11.55	23.1	15	1	1	NA	1	NA	0	2
ADCK2	3	10	1	5	99.33	198.66	15	1	1	0.333333333333333	1	0.0641025641025641	6	13
ADCY1	2	12	0	1	208.56	417.12	15	1	1	1	1	0.142857142857143	1	14
ADCY2	5	7	1	1	341.55	683.1	15	1	1	-0.4	1	-0.0833333333333333	2	12
ADCY3	1	4	1	2	88.11	176.22	15	1	1	-1	1	-0.133333333333333	3	5
ADCY7	7	23	3	2	313.5	627	15	1	0.127843219399197	-3.92857142857143	1	-0.366666666666667	5	30
ADCY8	4	3	2	0	269.28	538.56	15	1	0.5	-Inf	1	-0.428571428571429	2	7
ADCYAP1R1	1	5	1	1	109.23	218.46	15	1	0.464285714285714	-4	1	-0.333333333333333	2	6
ADD1	0	2	0	0	182.49	364.98	15	1	1	NA	1	NA	0	2
ADD3	2	5	2	0	190.41	380.82	15	1	0.166666666666667	-Inf	1	-0.714285714285714	2	7
ADGB	22	19	5	1	485.76	971.52	15	1	0.220531958199493	-3.31818181818182	1	-0.296747967479675	6	41
ADGRA1L	0	6	0	2	276.54	553.08	15	1	1	NA	1	0	2	6
ADGRA2	1	8	0	4	77.88	155.76	15	1	1	1	1	0.111111111111111	4	9
ADGRA3L	7	17	2	2	363.99	727.98	15	1	0.574065934065934	-1.42857142857143	1	-0.208333333333333	4	24
ADGRB1	1	16	0	5	403.92	807.84	15	1	1	1	1	0.0588235294117647	5	17
ADGRB2	2	3	1	2	76.56	153.12	15	1	1	0.25	1	0.0666666666666667	3	5
ADGRB3	1	8	0	1	184.8	369.6	15	1	1	1	1	0.111111111111111	1	9
ADGRD1	3	8	1	1	279.84	559.68	15	1	1	-1.66666666666667	1	-0.227272727272727	2	11
ADGRD2	10	12	4	3	265.98	531.96	15	1	0.681659170414793	-0.6	1	-0.116883116883117	7	22
ADGRF4	9	13	2	0	225.72	451.44	15	1	0.199275362318841	-Inf	1	-0.590909090909091	2	22
ADGRF5	33	26	4	5	425.37	850.74	15	1	0.721682609964051	0.36969696969697	1	0.114877589453861	9	59
ADGRG1	6	8	0	1	178.53	357.06	15	1	1	1	1	0.428571428571429	1	14
ADGRG2	10	13	1	2	361.02	722.04	15	1	1	0.35	1	0.101449275362319	3	23
ADGRG3	5	7	0	0	133.65	267.3	15	1	1	NA	1	NA	0	12
ADGRG4	17	15	4	2	342.54	685.08	15	1	0.672399672399672	-0.764705882352941	1	-0.135416666666667	6	32
ADGRG5	12	2	0	0	113.85	227.7	15	1	1	NA	1	NA	0	14
ADGRG6	38	28	2	1	814.77	1629.54	15	1	1	-0.473684210526316	1	-0.0909090909090908	3	66
ADGRG7	12	7	1	1	231.33	462.66	15	1	1	0.416666666666667	1	0.131578947368421	2	19
ADGRL2	3	10	2	2	502.26	1004.52	15	1	0.53781512605042	-2.33333333333333	1	-0.269230769230769	4	13
ADGRL3	5	13	2	2	306.9	613.8	15	1	0.564593301435407	-1.6	1	-0.222222222222222	4	18
ADGRV1	39	57	5	9	1521.96	3043.92	15	1	0.779306360284847	0.188034188034188	1	0.0491071428571428	14	96
ADH1C	2	6	1	3	103.62	207.24	15	1	1	0	1	0	4	8
ADH5	0	5	0	2	82.83	165.66	15	1	1	NA	1	0	2	5
ADHFE1	4	3	2	1	113.52	227.04	15	1	1	-0.5	1	-0.0952380952380952	3	7
ADI1	0	3	0	1	58.08	116.16	15	1	1	NA	1	0	1	3
ADIPOQ	1	9	0	3	66	132	15	1	1	1	1	0.1	3	10
ADIPOR1	0	6	0	0	50.16	100.32	15	1	1	NA	1	NA	0	6
ADIPOR2	0	4	0	1	154.11	308.22	15	1	1	NA	1	0	1	4
ADK	2	5	0	0	113.85	227.7	15	1	1	NA	1	NA	0	7
ADM	0	1	0	1	23.1	46.2	15	1	1	NA	1	0	1	1
ADMP	4	8	1	3	156.75	313.5	15	1	1	0.333333333333333	1	0.0833333333333333	4	12
ADNP	7	16	4	3	513.81	1027.62	15	1	0.371706454465075	-2.04761904761905	1	-0.267080745341615	7	23
ADNP2	3	22	1	4	314.49	628.98	15	1	0.538405400474366	-0.833333333333333	1	-0.08	5	25
ADORA1	2	3	0	1	54.12	108.24	15	1	1	1	1	0.4	1	5
ADORA2B	3	8	1	5	117.48	234.96	15	1	1	0.466666666666667	1	0.106060606060606	6	11
ADPGK	0	10	0	1	163.35	326.7	15	1	1	NA	1	0	1	10
ADPRH	1	2	0	1	97.68	195.36	15	1	1	1	1	0.333333333333333	1	3
ADPRHL1	44	34	8	8	627.33	1254.66	15	1	0.783724091448024	0.227272727272727	1	0.0641025641025641	16	78
ADPRHL2	1	4	0	0	104.61	209.22	15	1	1	NA	1	NA	0	5
ADPRM	1	2	0	0	40.59	81.18	15	1	1	NA	1	NA	0	3
ADRA1A	1	6	0	1	168.3	336.6	15	1	1	1	1	0.142857142857143	1	7
ADRA1D	2	6	1	1	65.67	131.34	15	1	1	-2	1	-0.25	2	8
ADRA2A	1	8	0	3	102.3	204.6	15	1	1	1	1	0.111111111111111	3	9
ADRA2BL2	6	2	5	1	46.53	93.06	15	1	1	-0.666666666666667	1	-0.0833333333333334	6	8
ADRB2	0	7	0	2	82.83	165.66	15	1	1	NA	1	0	2	7
ADRB3	3	3	2	3	59.07	118.14	15	1	1	0.333333333333333	1	0.1	5	6
ADRM1	0	4	0	1	92.4	184.8	15	1	1	NA	1	0	1	4
ADSL	1	8	0	3	133.32	266.64	15	1	1	1	1	0.111111111111111	3	9
ADSS	1	1	1	0	128.04	256.08	15	1	1	-Inf	1	-0.5	1	2
ADSSL1	0	5	0	0	133.32	266.64	15	1	1	NA	1	NA	0	5
ADTRP	1	2	0	0	62.37	124.74	15	1	1	NA	1	NA	0	3
AEN	0	1	0	1	30.69	61.38	15	1	1	NA	1	0	1	1
AFAP1	2	9	1	0	218.46	436.92	15	1	0.25	-Inf	1	-0.818181818181818	1	11
AFAP1L1	4	7	0	0	109.89	219.78	15	1	1	NA	1	NA	0	11
AFAP1L2	8	19	2	7	247.83	495.66	15	1	1	0.321428571428571	1	0.0740740740740741	9	27
AFDN	3	15	0	1	558.36	1116.72	15	1	1	1	1	0.166666666666667	1	18
AFF1	13	10	5	2	289.08	578.16	15	1	0.669319186560566	-0.923076923076923	1	-0.149068322981367	7	23
AFF3	4	5	1	0	112.2	224.4	15	1	1	-Inf	1	-0.555555555555556	1	9
AFF4	1	9	0	4	336.27	672.54	15	1	1	1	1	0.1	4	10
AFG1L	0	4	0	0	129.03	258.06	15	1	1	NA	1	NA	0	4
AFG3L2	0	12	0	3	216.48	432.96	15	1	1	NA	1	0	3	12
AFMID	0	5	0	0	45.87	91.74	15	1	1	NA	1	NA	0	5
AFP	4	9	1	1	193.71	387.42	15	1	1	-1.25	1	-0.192307692307692	2	13
AFTPH	6	6	4	0	292.71	585.42	15	1	0.233516483516484	-Inf	1	-0.5	4	12
AGA	2	3	1	0	90.42	180.84	15	1	1	-Inf	1	-0.6	1	5
AGAP3	2	14	1	5	189.42	378.84	15	1	1	-0.4	1	-0.0416666666666667	6	16
AGBL1	15	14	2	0	272.58	545.16	15	1	0.488172043010753	-Inf	1	-0.482758620689655	2	29
AGBL2	4	3	3	1	42.57	85.14	15	1	1	-1.25	1	-0.178571428571429	4	7
AGBL3	11	10	0	1	221.43	442.86	15	1	1	1	1	0.523809523809524	1	21
AGBL4	2	2	0	0	147.84	295.68	15	1	1	NA	1	NA	0	4
AGFG1	1	3	1	1	143.88	287.76	15	1	1	-2	1	-0.25	2	4
AGGF1	5	9	2	1	199.65	399.3	15	1	0.536764705882353	-2.6	1	-0.309523809523809	3	14
AGK	4	5	4	0	118.14	236.28	15	1	0.104895104895105	-Inf	1	-0.555555555555556	4	9
AGL	5	14	2	6	424.05	848.1	15	1	1	0.0666666666666667	1	0.0131578947368421	8	19
AGMAT	3	4	1	0	42.24	84.48	15	1	1	-Inf	1	-0.571428571428571	1	7
AGO1	0	14	0	3	245.85	491.7	15	1	1	NA	1	0	3	14
AGO3	0	8	0	1	245.19	490.38	15	1	1	NA	1	0	1	8
AGPAT1	4	3	0	0	72.93	145.86	15	1	1	NA	1	NA	0	7
AGPAT2	2	3	1	2	62.37	124.74	15	1	1	0.25	1	0.0666666666666667	3	5
