gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout
ADGB	84	70	16	8	1681.02	3362.04	15	2
ADGRB1	3	47	1	15	1292.94	2585.88	15	2
ADGRB3	2	20	0	3	594.99	1189.98	15	2
ADGRF4	19	36	4	1	671.22	1342.44	15	2
ADGRF5	108	57	9	6	1330.5600000000002	2661.1200000000003	15	2
ADGRG2	46	43	12	7	1295.91	2591.82	15	2
ADGRG6	97	66	6	4	2221.56	4443.12	15	2
ADGRG7	41	28	3	3	773.19	1546.38	15	2
ADHFE1	4	16	7	3	455.40000000000003	910.8000000000001	15	2
ADI1	3	6	1	3	179.19	358.38	15	2
ADIPOR2	3	9	0	1	382.14000000000004	764.2800000000001	15	2
ADNP2	21	44	1	11	1063.26	2126.52	15	2
ADPRH	9	12	1	8	380.16	760.32	15	2
ADPRHL1	112	87	36	27	1928.52	3857.04	15	2
ADSL	3	15	0	4	481.14000000000004	962.2800000000001	15	2
ADSS	1	12	2	2	411.84000000000003	823.6800000000001	15	2
ADTRP	5	9	0	0	231.66000000000003	463.32000000000005	15	2
AFDN	7	58	4	9	1877.3700000000001	3754.7400000000002	15	2
AFF3	17	17	4	1	419.1	838.2	15	2
AFG1L	3	14	1	4	460.35	920.7	15	2
AFG3L2	6	38	0	11	797.94	1595.88	15	2
AFTPH	30	29	14	8	843.48	1686.96	15	2
AGAP3	5	37	3	17	922.6800000000001	1845.3600000000001	15	2
AGBL3	39	28	3	2	767.25	1534.5	15	2
AGK	9	13	5	3	420.75	841.5	15	2
AGPAT3	1	16	1	2	314.49	628.98	15	2
AGPAT4	1	13	1	2	332.97	665.94	15	2
AGPAT5	1	9	0	1	362.34000000000003	724.6800000000001	15	2
AGR2	3	8	0	2	171.27	342.54	15	2
AGR3	0	6	0	2	164.34	328.68	15	2
AGT	11	23	4	0	460.35	920.7	15	2
AHI1	31	35	8	1	1013.76	2027.52	15	2
AHR	15	23	1	3	851.73	1703.46	15	2
AHRR	13	23	6	5	660	1320	15	2
AHSA2	3	12	0	3	333.63	667.26	15	2
AICDA	0	4	0	1	197.01000000000002	394.02000000000004	15	2
AIG1	7	5	0	0	150.48000000000002	300.96000000000004	15	2
AIM1	36	60	8	9	1731.51	3463.02	15	2
AK9	82	77	13	14	2411.6400000000003	4823.280000000001	15	2
AKAIN1	0	3	0	0	68.31	136.62	15	2
AKAP12	94	66	27	10	1879.3500000000001	3758.7000000000003	15	2
AKAP17A	13	42	1	5	686.07	1372.14	15	2
AKAP7	11	11	1	1	238.26000000000002	476.52000000000004	15	2
AKAP7L	42	42	12	2	652.4100000000001	1304.8200000000002	15	2
AKAP9	103	115	28	19	3895.65	7791.3	15	2
AKR1B10L2	6	12	0	2	314.82	629.64	15	2
AKR1B10L3	2	11	2	1	267.3	534.6	15	2
AKR1D1	0	9	0	4	293.04	586.08	15	2
AKT3	2	17	1	1	470.25	940.5	15	2
ALDH1L2	8	31	3	4	896.94	1793.88	15	2
ALDH5A1	3	18	1	1	401.94	803.88	15	2
ALDH8A1	11	38	0	3	970.2	1940.4	15	2
ALG10	12	25	6	7	468.27000000000004	936.5400000000001	15	2
ALG11	10	17	4	6	402.93	805.86	15	2
ALG12	1	16	2	0	351.78000000000003	703.5600000000001	15	2
ALG2	5	21	2	8	392.70000000000005	785.4000000000001	15	2
ALG5	9	11	5	1	322.74	645.48	15	2
ALG8	11	25	8	3	412.83000000000004	825.6600000000001	15	2
ALK	29	41	7	5	1171.5	2343	15	2
ALKBH8	18	27	6	7	624.69	1249.38	15	2
ALOX5AP	0	6	0	5	160.38	320.76	15	2
ALS2CL	8	50	5	9	970.2	1940.4	15	2
ALX1	4	8	1	0	323.73	647.46	15	2
AMD1	0	2	0	2	332.31	664.62	15	2
AMDHD1	5	14	3	1	431.64000000000004	863.2800000000001	15	2
AMER2	10	30	3	3	609.84	1219.68	15	2
AMIGO2	11	24	4	3	516.78	1033.56	15	2
AMN1	0	14	1	1	264.33	528.66	15	2
AMPH	50	50	8	7	1394.91	2789.82	15	2
ANAPC1	12	66	4	9	1877.7	3755.4	15	2
ANGEL2	19	24	4	5	552.4200000000001	1104.8400000000001	15	2
ANGPT2	1	11	1	0	768.24	1536.48	15	2
ANGPTL5	6	17	2	1	387.09000000000003	774.1800000000001	15	2
ANKEF1	34	48	10	5	764.2800000000001	1528.5600000000002	15	2
ANKH	5	17	0	1	481.8	963.6	15	2
ANKIB1	5	39	2	6	1084.05	2168.1	15	2
ANKMY2	7	18	2	1	454.41	908.82	15	2
ANKRD10	0	6	1	2	306.57	613.14	15	2
ANKRD12	36	68	12	17	1996.5	3993	15	2
ANKRD26	104	106	24	11	2431.44	4862.88	15	2
ANKRD28	3	34	2	10	1006.83	2013.66	15	2
ANKRD29	0	16	2	2	298.98	597.96	15	2
ANKRD33B	10	17	2	9	509.85	1019.7	15	2
ANKRD46	1	14	0	2	226.71	453.42	15	2
ANKRD49	2	25	0	4	241.56	483.12	15	2
ANKRD54	3	12	1	6	257.40000000000003	514.8000000000001	15	2
ANKRD6	15	45	5	9	812.7900000000001	1625.5800000000002	15	2
ANKRD66	6	7	0	3	181.17000000000002	362.34000000000003	15	2
ANKRD9L	0	8	0	1	294.03000000000003	588.0600000000001	15	2
ANKS1B	8	20	1	0	640.2	1280.4	15	2
ANKS6	29	37	7	4	1086.03	2172.06	15	2
ANLN	53	39	4	2	1085.04	2170.08	15	2
ANO10	6	30	3	2	544.5	1089	15	2
ANO4	1	17	2	2	944.46	1888.92	15	2
ANO6	14	46	3	3	873.51	1747.02	15	2
ANOS1	28	27	2	5	780.7800000000001	1561.5600000000002	15	2
ANXA13	15	14	7	4	417.78000000000003	835.5600000000001	15	2
AOAH	19	30	2	2	560.34	1120.68	15	2
AOC1	29	20	14	16	738.87	1477.74	15	2
AP1S2	0	5	0	1	147.51000000000002	295.02000000000004	15	2
APAF1	18	48	1	6	1235.52	2471.04	15	2
APBB1	11	31	2	11	631.62	1263.24	15	2
APBB1IP	25	33	2	4	724.02	1448.04	15	2
APCDD1	3	24	0	4	507.87	1015.74	15	2
APLF	26	22	2	2	399.3	798.6	15	2
APMAP	1	14	3	0	403.92	807.84	15	2
APOB	110	139	13	12	4636.17	9272.34	15	2
APOLD1	3	11	1	3	232.65	465.3	15	2
APOO	5	5	3	1	220.77	441.54	15	2
APOV1	0	4	0	1	105.93	211.86	15	2
APP	0	32	1	6	726.6600000000001	1453.3200000000002	15	2
APPL2	5	39	1	6	652.4100000000001	1304.8200000000002	15	2
AQP1	1	15	0	1	269.28000000000003	538.5600000000001	15	2
AQP11	12	16	5	3	258.39	516.78	15	2
AQP4	5	18	2	2	366.3	732.6	15	2
AR	0	15	0	1	378.51	757.02	15	2
ARC	2	15	1	4	400.95000000000005	801.9000000000001	15	2
ARF1	0	9	0	2	180.18	360.36	15	2
ARFGAP3	18	10	1	0	513.8100000000001	1027.6200000000001	15	2
ARFGEF1	6	55	3	8	1826.22	3652.44	15	2
ARFGEF3	19	86	7	17	2184.27	4368.54	15	2
ARGLU1	1	3	0	0	270.27000000000004	540.5400000000001	15	2
ARHGAP12	12	25	3	3	895.95	1791.9	15	2
ARHGAP18	19	21	3	2	653.4	1306.8	15	2
ARHGAP20	11	33	8	12	915.75	1831.5	15	2
ARHGAP21	27	86	11	11	1971.0900000000001	3942.1800000000003	15	2
ARHGAP28	4	16	5	1	644.49	1288.98	15	2
ARHGAP39L	15	34	7	25	1166.22	2332.44	15	2
ARHGAP42	1	19	1	2	635.25	1270.5	15	2
ARHGAP8	22	3	0	0	196.02	392.04	15	2
ARHGDIB	0	6	0	0	198.99	397.98	15	2
ARHGEF10	8	54	4	6	1335.8400000000001	2671.6800000000003	15	2
ARHGEF17	5	22	3	16	876.48	1752.96	15	2
ARHGEF33	4	27	38	14	803.88	1607.76	15	2
ARHGEF5	90	56	4	3	1715.67	3431.34	15	2
ARHGEF7	7	22	4	6	782.1	1564.2	15	2
ARID1B	3	14	0	5	1091.64	2183.28	15	2
ARID2	8	29	2	5	1846.3500000000001	3692.7000000000003	15	2
ARID4B	15	38	3	6	1352.3400000000001	2704.6800000000003	15	2
ARL1	0	15	0	2	180.18	360.36	15	2
ARL11	10	10	4	2	198	396	15	2
ARL13B	0	4	0	0	136.95000000000002	273.90000000000003	15	2
ARL4A	0	10	0	0	198.99	397.98	15	2
ARL5B	0	12	0	0	165.33	330.66	15	2
ARL6	3	6	1	1	185.13	370.26	15	2
ARL8BL	1	5	0	1	206.91	413.82	15	2
ARMC1	2	6	0	2	277.2	554.4	15	2
ARMC10	6	17	2	2	250.47	500.94	15	2
ARMC2	38	34	7	5	807.84	1615.68	15	2
ARMC3	21	31	4	6	854.37	1708.74	15	2
ARMC4	18	46	2	9	1005.84	2011.68	15	2
ARMT1	11	18	1	0	423.06	846.12	15	2
ARNTL2	16	30	2	3	607.2	1214.4	15	2
ARPP21	16	28	2	1	748.44	1496.88	15	2
ARR3	1	15	2	9	360.03000000000003	720.0600000000001	15	2
ARSA	8	20	1	1	467.94	935.88	15	2
ARSE	39	35	2	6	840.1800000000001	1680.3600000000001	15	2
ARSH	32	28	2	1	542.52	1085.04	15	2
ART4	8	9	6	1	298.98	597.96	15	2
ARV1	2	5	4	2	232.65	465.3	15	2
ARX	1	7	0	2	218.79000000000002	437.58000000000004	15	2
ASAP1	14	41	3	6	1302.8400000000001	2605.6800000000003	15	2
ASAP2	25	34	1	10	1091.97	2183.94	15	2
ASB10	7	22	4	5	427.68	855.36	15	2
ASB11	8	12	1	3	319.77000000000004	639.5400000000001	15	2
ASB15	13	17	6	2	586.08	1172.16	15	2
ASB3	9	24	4	5	487.08000000000004	974.1600000000001	15	2
ASB4	5	21	2	4	431.64000000000004	863.2800000000001	15	2
ASB9	6	18	0	1	250.8	501.6	15	2
ASCC3	12	57	2	3	1729.2	3458.4	15	2
ASCL4	2	9	1	3	187.11	374.22	15	2
ASF1A	0	6	0	1	202.95000000000002	405.90000000000003	15	2
ASMT	10	13	1	1	343.53000000000003	687.0600000000001	15	2
ASMTL	22	24	6	3	626.6700000000001	1253.3400000000001	15	2
ASNS	6	21	1	5	556.38	1112.76	15	2
ASRGL1	9	14	3	3	313.83000000000004	627.6600000000001	15	2
ASTE1	31	34	5	8	663.3000000000001	1326.6000000000001	15	2
ASXL2	41	84	14	20	1293.6000000000001	2587.2000000000003	15	2
ASXL3	21	57	11	12	2157.87	4315.74	15	2
ASZ1	17	24	3	3	490.71000000000004	981.4200000000001	15	2
ATAD2	87	70	19	13	805.86	1611.72	15	2
ATAD2B	6	28	3	2	1428.5700000000002	2857.1400000000003	15	2
ATF3	0	4	0	1	180.18	360.36	15	2
ATF4	4	10	3	3	351.45	702.9	15	2
ATF7IP	28	45	12	1	1596.8700000000001	3193.7400000000002	15	2
ATG9B	7	26	4	19	781.11	1562.22	15	2
ATL2	6	14	3	4	594	1188	15	2
ATM	75	109	16	19	2974.9500000000003	5949.9000000000005	15	2
ATN1	5	61	4	22	1136.8500000000001	2273.7000000000003	15	2
ATP10A	14	37	4	6	1320.99	2641.98	15	2
ATP11A	16	40	4	8	1211.1000000000001	2422.2000000000003	15	2
ATP1A1	1	48	0	8	1013.76	2027.52	15	2
ATP1B1	4	16	0	6	282.15000000000003	564.3000000000001	15	2
ATP23	2	9	0	1	236.94	473.88	15	2
ATP2C1	14	31	1	6	952.38	1904.76	15	2
ATP4B	2	18	3	4	286.11	572.22	15	2
ATP5C1	2	12	0	1	292.05	584.1	15	2
ATP5J	1	3	0	0	86.46000000000001	172.92000000000002	15	2
ATP5O	4	9	0	2	209.88000000000002	419.76000000000005	15	2
ATP6AP1	10	9	5	0	478.17	956.34	15	2
ATP6AP2	3	17	2	5	352.44	704.88	15	2
ATP6V0A4	2	37	4	6	835.5600000000001	1671.1200000000001	15	2
ATP6V0D2	0	15	1	1	348.48	696.96	15	2
ATP6V1A-ATP6V1AL	0	19	0	4	611.82	1223.64	15	2
ATP6V1E1	2	6	2	0	224.73000000000002	449.46000000000004	15	2
ATP6V1H	0	19	1	3	476.19	952.38	15	2
ATP7B	37	88	9	9	1430.55	2861.1	15	2
ATP8A2	8	23	2	1	764.94	1529.88	15	2
ATP9B	5	29	4	2	1144.77	2289.54	15	2
ATXN1	5	19	6	17	793.98	1587.96	15	2
ATXN10	31	22	0	1	411.18	822.36	15	2
ATXN7L1	4	17	1	2	619.74	1239.48	15	2
AVL9	15	25	3	0	634.59	1269.18	15	2
AVPR1A	1	6	0	1	315.48	630.96	15	2
AVPR2	2	9	2	0	368.28000000000003	736.5600000000001	15	2
AWAT1	3	8	2	7	358.38	716.76	15	2
AZI2	8	18	2	1	386.1	772.2	15	2
AZIN1	1	10	1	1	446.49	892.98	15	2
AvBD1-AvBD5	16	7	1	1	102.30000000000001	204.60000000000002	15	2
AvBD10-AvBD9	1	5	0	3	68.31	136.62	15	2
AvBD12	3	6	0	1	93.06	186.12	15	2
AvBD4-AvBD6-AvBD7	3	4	0	0	66.33	132.66	15	2
B3GALNT2	8	24	2	2	481.8	963.6	15	2
B3GALT5	16	11	3	4	316.8	633.6	15	2
B3GAT1L	4	17	0	4	341.55	683.1	15	2
B3GAT2	0	4	0	1	125.73	251.46	15	2
B3GLCT	9	16	5	4	561.99	1123.98	15	2
B3GNT2	0	20	0	4	394.02000000000004	788.0400000000001	15	2
B4GALNT3	38	53	6	8	1002.5400000000001	2005.0800000000002	15	2
B4GALT3	9	13	3	5	339.57	679.14	15	2
B4GALT4	8	20	4	5	351.45	702.9	15	2
B4GALT6	1	9	0	2	379.17	758.34	15	2
BAALC	2	5	2	1	145.53	291.06	15	2
BACE2	5	11	4	4	340.56	681.12	15	2
BACH1	16	27	4	4	758.34	1516.68	15	2
BACH2	1	13	3	5	817.74	1635.48	15	2
BAG1	3	10	0	1	200.64000000000001	401.28000000000003	15	2
BAG2	0	6	2	4	223.74	447.48	15	2
BAIAP2L2	12	29	4	3	490.05	980.1	15	2
BAMBI	0	5	0	1	257.40000000000003	514.8000000000001	15	2
BASP1	5	11	2	2	242.55	485.1	15	2
BATF3	2	2	0	2	104.94000000000001	209.88000000000002	15	2
BBS10	40	35	11	10	642.51	1285.02	15	2
BBX	9	14	0	3	930.6	1861.2	15	2
BCAP29	4	3	1	0	241.56	483.12	15	2
BCAT1	11	16	2	0	429.66	859.32	15	2
BCKDHB	25	17	2	1	427.35	854.7	15	2
BCL11A	3	23	1	7	645.15	1290.3	15	2
BCL2L11	3	2	1	0	128.04	256.08	15	2
BCL2L13	17	19	3	2	493.68	987.36	15	2
BCL9	3	36	9	8	1415.3700000000001	2830.7400000000002	15	2
BCOR	20	62	12	24	1731.51	3463.02	15	2
BDH1	4	14	3	5	316.8	633.6	15	2
BEND2	13	33	3	5	575.85	1151.7	15	2
BEND3	2	34	0	9	828.63	1657.26	15	2
BEND6	15	14	2	0	474.21000000000004	948.4200000000001	15	2
BEND7	7	8	0	5	462.33000000000004	924.6600000000001	15	2
BEST3	7	21	1	5	662.3100000000001	1324.6200000000001	15	2
BET1	0	8	0	1	114.84	229.68	15	2
BFSP1	12	26	6	6	651.4200000000001	1302.8400000000001	15	2
BFSP2	2	14	2	5	397.98	795.96	15	2
BICD1	6	40	1	7	825.99	1651.98	15	2
BID	2	13	0	1	192.06	384.12	15	2
BIRC2	7	24	2	3	605.88	1211.76	15	2
BIRC5	3	4	1	1	145.53	291.06	15	2
BIRC6	13	152	9	20	4801.5	9603	15	2
BIVM	5	28	4	3	524.7	1049.4	15	2
BLK	4	35	0	6	521.73	1043.46	15	2
BLOC1S4	7	9	4	4	215.82000000000002	431.64000000000004	15	2
BLOC1S5	7	10	1	0	193.05	386.1	15	2
BLZF1	10	20	1	3	394.02000000000004	788.0400000000001	15	2
BMI1	0	2	0	1	294.36	588.72	15	2
BMP2	0	1	1	0	393.03000000000003	786.0600000000001	15	2
BMP5	1	9	2	1	372.24	744.48	15	2
BMP6	5	16	0	1	302.94	605.88	15	2
BMPER	22	28	3	2	771.87	1543.74	15	2
BMT2	3	20	0	1	373.23	746.46	15	2
BMX	15	27	1	0	605.88	1211.76	15	2
BOC	26	56	5	18	1144.44	2288.88	15	2
BOP1	2	3	2	2	326.37	652.74	15	2
BORA	17	30	2	4	614.13	1228.26	15	2
BORCS5	8	5	0	0	81.18	162.36	15	2
BORCS6	5	10	1	4	200.64000000000001	401.28000000000003	15	2
BPGM	3	12	0	1	257.40000000000003	514.8000000000001	15	2
BPHL	4	18	4	1	287.1	574.2	15	2
BPIFCB	25	21	1	1	462.99	925.98	15	2
BPNT1	7	10	1	2	304.92	609.84	15	2
BRAF	0	16	0	1	748.44	1496.88	15	2
BRCA2	246	155	46	24	3346.86	6693.72	15	2
BRD1	3	34	0	0	1204.17	2408.34	15	2
BRE	24	21	9	4	518.76	1037.52	15	2
BTBD11	10	22	4	8	772.2	1544.4	15	2
BTBD9	0	15	1	0	438.57	877.14	15	2
BTD	18	29	10	6	515.7900000000001	1031.5800000000002	15	2
BTG1	1	2	0	1	169.29000000000002	338.58000000000004	15	2
BTLA	12	8	3	3	265.32	530.64	15	2
BUB1	49	50	5	14	1070.52	2141.04	15	2
BVES	3	6	2	4	356.40000000000003	712.8000000000001	15	2
BZW2	1	5	0	3	415.8	831.6	15	2
C11orf97	4	3	2	0	84.15	168.3	15	2
C12orf74-PLEKHG7	24	32	3	2	747.12	1494.24	15	2
C18orf63	37	29	8	4	640.5300000000001	1281.0600000000002	15	2
C1D	11	5	4	0	166.32000000000002	332.64000000000004	15	2
C1GALT1	3	11	1	4	363.33000000000004	726.6600000000001	15	2
C1H11ORF54	2	18	2	6	313.83000000000004	627.6600000000001	15	2
C1H11ORF70	4	8	3	2	265.32	530.64	15	2
C1H11ORF87	2	4	1	1	172.92000000000002	345.84000000000003	15	2
C1H12ORF45	5	5	2	1	162.36	324.72	15	2
C1H12ORF57	1	4	0	3	125.73	251.46	15	2
C1H12ORF66	0	11	0	3	442.53000000000003	885.0600000000001	15	2
C1H12ORF73	2	1	0	2	67.32000000000001	134.64000000000001	15	2
C1H21ORF33	3	12	1	1	228.69	457.38	15	2
C1H21ORF59	3	20	3	2	288.09000000000003	576.1800000000001	15	2
C1H21ORF62	4	5	2	1	223.74	447.48	15	2
C1H21ORF91	2	5	0	0	114.84	229.68	15	2
C1H22orf23	11	11	5	3	215.16	430.32	15	2
C1H2ORF40	3	4	0	2	143.22	286.44	15	2
C1H2ORF49	4	13	2	1	239.58	479.16	15	2
C1H3ORF30	14	6	1	1	146.52	293.04	15	2
C1H3ORF38	10	12	1	1	306.90000000000003	613.8000000000001	15	2
C1HXORF36	5	22	5	3	427.68	855.36	15	2
C1HXORF59	94	77	16	5	2035.7700000000002	4071.5400000000004	15	2
C1QL3	0	3	1	2	245.52	491.04	15	2
C1QTNF6	2	11	0	0	257.40000000000003	514.8000000000001	15	2
C1QTNF9	7	11	4	3	341.55	683.1	15	2
C1R	18	29	4	5	705.87	1411.74	15	2
C1S	21	35	5	4	684.09	1368.18	15	2
C21orf140	12	9	3	3	251.46	502.92	15	2
C2CD2	14	20	5	2	713.7900000000001	1427.5800000000002	15	2
C2CD3	180	225	58	44	2320.56	4641.12	15	2
C2CD5	10	33	1	1	997.59	1995.18	15	2
C2H18ORF21	22	14	2	4	328.68	657.36	15	2
C2H18ORF8	4	24	2	7	674.19	1348.38	15	2
C2H1orf35	12	12	6	8	303.93	607.86	15	2
C2H6ORF62	0	3	0	1	227.70000000000002	455.40000000000003	15	2
C2H6orf52	5	4	0	0	256.41	512.82	15	2
C2H7ORF57	7	10	0	3	147.51000000000002	295.02000000000004	15	2
C2H7orf31	26	18	4	2	395.01	790.02	15	2
C2H8ORF22	4	2	0	0	85.14	170.28	15	2
C2H8ORF34	17	17	1	0	383.13	766.26	15	2
C2H8ORF37	8	13	2	1	210.87	421.74	15	2
C2H8ORF46	8	10	3	6	194.04000000000002	388.08000000000004	15	2
C2H8ORF76	36	35	6	5	403.92	807.84	15	2
C2orf71	55	49	19	8	1286.01	2572.02	15	2
C3AR1	29	18	5	3	463.32000000000005	926.6400000000001	15	2
C3H1ORF115	2	1	1	0	128.70000000000002	257.40000000000003	15	2
C3H1ORF131	11	15	5	2	242.22	484.44	15	2
C3H1ORF198	3	7	3	4	332.64000000000004	665.2800000000001	15	2
C3H1orf95	1	4	0	0	132.66	265.32	15	2
C3H2ORF3-GCFC2-LOC112530730	34	43	7	3	832.59	1665.18	15	2
C3H2ORF70	10	8	0	2	125.73	251.46	15	2
C3H6ORF203	5	19	2	3	223.74	447.48	15	2
C3H6orf120	7	6	2	3	184.14000000000001	368.28000000000003	15	2
C3H8ORF80	55	42	8	8	755.7	1511.4	15	2
C4A	46	85	9	12	1670.13	3340.26	15	2
C6orf58	24	23	4	3	382.14000000000004	764.2800000000001	15	2
C7orf49	5	6	3	1	91.08	182.16	15	2
C8orf59	4	5	0	0	101.97	203.94	15	2
CA13	2	6	0	0	204.93	409.86	15	2
CA2	6	13	1	0	258.39	516.78	15	2
CA3A	3	12	2	1	260.37	520.74	15	2
CA3B	2	11	1	1	263.34000000000003	526.6800000000001	15	2
CA8	1	6	1	1	281.16	562.32	15	2
CAB39L	0	10	0	3	331.65000000000003	663.3000000000001	15	2
CABYR	31	25	4	1	467.94	935.88	15	2
CACNA1C	0	16	3	12	883.08	1766.16	15	2
CACNA1I	42	83	9	25	2251.26	4502.52	15	2
CACNA2D1	7	23	2	1	836.5500000000001	1673.1000000000001	15	2
CACNA2D4	8	41	4	6	815.76	1631.52	15	2
CACNG2	2	3	0	3	271.26	542.52	15	2
CADPS2	16	51	2	5	1121.01	2242.02	15	2
CALCR	1	21	1	1	465.3	930.6	15	2
CALD1	7	17	1	2	396.99	793.98	15	2
CALM1-CALM2	0	2	0	0	148.5	297	15	2
CAND1	1	33	1	7	1217.04	2434.08	15	2
CAP2	6	13	1	3	474.21000000000004	948.4200000000001	15	2
CAPN11	8	25	1	8	698.94	1397.88	15	2
CAPN13	28	32	4	2	608.85	1217.7	15	2
CAPN2	3	40	1	7	670.89	1341.78	15	2
CAPN5	11	40	2	6	779.13	1558.26	15	2
CAPN7	0	34	1	9	772.2	1544.4	15	2
CAPN8	18	31	6	7	692.01	1384.02	15	2
CAPN9	10	28	8	7	687.0600000000001	1374.1200000000001	15	2
CAPRIN2	8	31	3	4	1163.25	2326.5	15	2
CAPS2	26	13	6	3	588.0600000000001	1176.1200000000001	15	2
CAPZA2	0	6	1	2	305.91	611.82	15	2
CAPZA3	12	9	1	1	274.23	548.46	15	2
CARD10	11	44	6	18	1010.7900000000001	2021.5800000000002	15	2
CARMIL1	15	56	3	5	1538.13	3076.26	15	2
CARS2	14	9	2	8	505.56	1011.12	15	2
CASC1	31	23	3	1	707.85	1415.7	15	2
CASD1	8	25	2	7	791.01	1582.02	15	2
CASK	6	21	0	9	891	1782	15	2
CASP2	7	18	4	6	422.73	845.46	15	2
CASP8AP2	142	124	37	21	2446.9500000000003	4893.9000000000005	15	2
CASQ2	3	28	3	6	389.07	778.14	15	2
CASR	2	41	2	7	1049.4	2098.8	15	2
CATH3	7	11	5	5	231	462	15	2
CAV1	0	7	0	5	177.21	354.42	15	2
CAV2	2	4	2	1	157.74	315.48	15	2
CBLL1	2	25	1	7	489.06	978.12	15	2
CBLN2	0	4	0	0	157.41	314.82	15	2
CBR1	3	10	0	1	238.59	477.18	15	2
CBS	4	29	1	8	561.33	1122.66	15	2
CBX3	0	8	0	1	173.25	346.5	15	2
CBX6	2	17	0	8	392.37	784.74	15	2
CBX7	1	6	0	3	242.55	485.1	15	2
