gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div	SnIPRE.lbound	SnIPRE.ubound	SnIPRE.class	SnIPRE.est	SnIPRE.Rlbound	SnIPRE.Rubound	SnIPRE.tau	SnIPRE.theta	SnIPRE.Rclass	SnIPRE.Rest	SnIPRE.gamma	SnIPRE.f	SnIPRE.f.lb	SnIPRE.f.ub	SnIPRE.f.class
ABCB1	35	55	5	6	1277.1	2554.2	15	2	0.749145854022072	-0.30952380952381	1	-0.0656565656565656	11	90	-0.536959229233321	-0.209133897079026	neg	-0.373046563156173	-1.11501289520272	-0.517842458547319	35.881567033608	0.00120218687927383	neg	-0.816427676875021	-0.472818832321647	0.50953264257558	0.378013077471918	0.686837134171571	neg
ABCB10	1	24	0	2	572.22	1144.44	15	2	1	1	1	0.04	2	25	-1.51020819148284	-0.689190856369487	neg	-1.09969952392616	-2.64717462340104	-1.24987663222835	33.1401794301802	0.00116721483211917	neg	-1.94852562781469	-1.23181335888426	0.209840426559822	0.104344554586884	0.421996184564359	neg
ABCB1LA	43	39	6	6	1295.91	2591.82	15	2	1	0.0930232558139535	1	0.024390243902439	12	82	-0.391625771205153	-0.0774799879662506	neg	-0.234552879585702	-0.773378470651248	-0.158049080490137	28.5467773544409	0.00109360601745952	neg	-0.465713775570692	-0.306483670931031	0.687196837716862	0.505192384327212	0.934749946253286	neg
ABCB5	23	62	7	3	1324.62	2649.24	15	2	0.0100998023914922	-5.28985507246377	1	-0.429411764705882	10	85	-0.711797856639504	-0.352475154849331	neg	-0.532136505744417	-1.37353472081347	-0.736638906349306	38.9520988116818	0.00114687616682681	neg	-1.05508681358139	-0.653601794208771	0.425099325770209	0.309164784493729	0.584504819905279	neg
ABCC10	52	71	17	12	1524.6	3049.2	15	2	0.14672221291134	-0.934294871794872	1	-0.163442668909448	29	123	-0.317477678201753	-0.0501986484678255	neg	-0.183838163334789	-1.01920873363946	-0.519679544779495	19.7129442303807	0.00223956405009719	neg	-0.769444139209478	-0.243781957545883	0.49761350534933	0.387643804554596	0.638807053843942	neg
ABCC13	39	46	11	3	1271.16	2542.32	15	2	0.0407146849345353	-3.32478632478632	1	-0.326890756302521	14	85	-0.402156325478888	-0.0901977888964142	neg	-0.246177057187651	-0.856747238583738	-0.253346706069295	27.552184959837	0.00124863322867824	neg	-0.555046972326517	-0.320969029413183	0.631262683490603	0.466853738564812	0.853565443494949	neg
ABCC9	16	56	5	5	1631.19	3262.38	15	2	0.114117769070042	-2.5	1	-0.277777777777778	10	72	-0.890687739860287	-0.493685674436265	neg	-0.692186707148276	-1.54737892825341	-0.840322939357129	31.9763112417973	0.00103691902379336	neg	-1.19385093380527	-0.827134158626808	0.391350579677279	0.274800712317951	0.557302171703622	neg
ABCD2	3	20	0	10	631.29	1262.58	15	2	0.536290322580645	1	1	0.130434782608696	10	23	-1.21273424189673	-0.50171637985687	neg	-0.8572253108768	-2.48151352594871	-1.23539972607185	11.1512613103824	0.00273512236853867	neg	-1.85845662601028	-1.01016144414691	0.213687529629413	0.114600713218173	0.398418072562169	neg
ABCF2	3	17	0	9	617.76	1235.52	15	2	0.532019704433498	1	1	0.15	9	20	-1.20431685144392	-0.483667104587038	neg	-0.843991978015477	-2.39995453440175	-1.12731046823467	10.6619444350129	0.00250451480541766	neg	-1.76363250131821	-0.997597005084414	0.23398209623213	0.123830697104305	0.44211551121671	neg
ABCG1	1	32	0	2	660.33	1320.66	15	2	1	1	1	0.0303030303030303	2	33	-1.56063556889358	-0.763866537797974	neg	-1.16225105334578	-2.73583255054385	-1.39215819455276	41.3028901352859	0.00109232916748437	neg	-2.0639953725483	-1.28840653457037	0.190425853663352	0.0972491537509371	0.372766781640728	neg
ABHD10	5	12	2	1	275.88	551.76	15	2	0.270175438596491	-3.8	1	-0.372549019607843	3	17	-0.76181319197694	-0.124744737889277	neg	-0.443278964933109	-1.64268115307328	-0.451729725090588	24.8958033700893	0.00165099884019641	neg	-1.04720543908194	-0.555608564642996	0.415259541556733	0.228931706386591	0.753238896567898	neg
ABHD12	1	29	2	10	367.29	734.58	15	2	0.191637630662021	-4.8	1	-0.133333333333333	12	30	-1.14673553870754	-0.417414417124159	neg	-0.782074977915851	-2.84527039915659	-1.59676081223137	13.8032939493709	0.00509251470582304	neg	-2.22101560569398	-0.929239938091333	0.144837943150142	0.0775845146109125	0.270386266196857	neg
ABHD13	1	5	0	0	334.62	669.24	15	2	1	NA	1	NA	0	6	-1.40958801550989	-0.436004267980919	neg	-0.922796141745403	-2.15004726737088	-0.425769216259976	14.8171659220785	0.000934530670979221	neg	-1.28790824181543	-1.07088085187999	0.385619227551803	0.162824507578395	0.913192747039212	neg
ABHD5	1	27	1	3	372.24	744.48	15	2	0.237903225806452	-8	1	-0.214285714285714	4	28	-1.30059373631624	-0.527120167588793	neg	-0.913856951952519	-2.68342624550192	-1.36782749825852	32.3947730249177	0.00203084104172352	neg	-2.02562687188022	-1.05279563348436	0.183319497975836	0.0949738054625516	0.353925829334933	neg
ABI3BP	29	29	2	2	1142.46	2284.92	15	2	1	0	1	0	4	58	-0.579585241927319	-0.201404079529746	neg	-0.390494660728533	-0.814369651966109	-0.0907658321080675	42.2789280359662	0.000639337046883858	neg	-0.452567742037088	-0.492721638597004	0.737782576113361	0.513790663506364	1.05935462406793	neut
ABRA	18	22	3	4	405.9	811.8	15	2	1	0.0833333333333334	1	0.0214285714285715	7	40	-0.39457484411683	0.0340994326559861	neut	-0.180237705730422	-1.21486960105015	-0.385899615269016	26.6451007079459	0.00206967773829882	neg	-0.800384608159581	-0.238471001681005	0.449154724060234	0.296747442210354	0.679838560464993	neg
ABRACL	1	2	0	2	81.18	162.36	15	2	1	1	1	0.333333333333333	2	3	-1.07435238264653	-0.00477568554034202	neg	-0.539564034093436	-2.21040873153609	-0.318847232317658	9.99976109232125	0.00255705485855953	neg	-1.26462798192688	-0.67286710920601	0.34686509692276	0.134715282684052	0.89314486814236	neg
ACAA1	8	37	2	9	429.66	859.32	15	2	1	-0.0277777777777777	1	-0.00404040404040404	11	45	-0.752157161088034	-0.242191044559319	neg	-0.497174102823676	-2.12911237172622	-1.23013933584029	21.9386131450295	0.00377584532773655	neg	-1.67962585378325	-0.617500023581957	0.225025442818781	0.143555201854499	0.352759404239981	neg
ACAD11	12	23	2	6	532.95	1065.9	15	2	1	0.361111111111111	1	0.0928571428571429	8	35	-0.623998025099024	-0.152530297705825	neg	-0.388264161402424	-1.52588416087713	-0.638271156530214	20.9024845930456	0.00209727717615145	neg	-1.08207765870367	-0.492830311144319	0.393141840013589	0.252229264485092	0.612755846718252	neg
ACAD6L	7	21	2	3	403.92	807.84	15	2	0.597052280311457	-1	1	-0.15	5	28	-0.776550135669916	-0.218241721094536	neg	-0.497395928382226	-1.75284064649136	-0.734506681612076	26.5857627277502	0.00187781610223133	neg	-1.24367366405172	-0.616615411698441	0.347873811656676	0.209080341056526	0.578850649635548	neg
ACAT1	11	31	3	7	459.03	918.06	15	2	1	-0.207792207792208	1	-0.0380952380952381	10	42	-0.618285289094847	-0.15111500131264	neg	-0.384700145203744	-1.75936658460097	-0.907336731727615	21.8506161988865	0.00299239625259969	neg	-1.33335165816429	-0.488419700533544	0.305361390653923	0.199452108407517	0.467549881578395	neg
ACAT2	2	21	1	2	388.41	776.82	15	2	0.318846153846154	-4.25	1	-0.246376811594203	3	23	-1.19788640761149	-0.459163282124521	neg	-0.828524844868006	-2.35144417662794	-1.07102895427646	30.7542002526017	0.00160871733642453	neg	-1.7112365654522	-0.967950604861959	0.244199964699779	0.128737050191134	0.46321965035488	neg
ACBD5	12	16	5	4	488.07	976.14	15	2	0.703388695602266	-0.666666666666667	1	-0.126984126984127	9	28	-0.476264104548191	-0.0148872086393755	neg	-0.245575656593783	-1.23215677663888	-0.300527835961414	14.9912027529095	0.00212862303828554	neg	-0.766342306300145	-0.322423983889461	0.511248003156285	0.32087724718694	0.814592359714681	neg
ACCSL	62	27	6	10	559.68	1119.36	15	2	0.0212795343797256	0.738709677419355	1	0.321629213483146	16	89	0.056400380235026	0.352590799050338	pos	0.204495589642682	-0.594885429258058	0.0319841808209906	20.9665767554994	0.00260516635059395	neut	-0.281450624218534	0.298230741005072	0.696019185241939	0.508733647529308	0.952227061901322	neg
ACE2	35	35	3	7	800.91	1601.82	15	2	0.317818343451316	0.571428571428571	1	0.2	10	70	-0.3595399872878	-0.0176804521310419	neg	-0.188610219709421	-0.980427247548075	-0.324020973456199	29.6092760518174	0.00156136269901792	neg	-0.652224110502137	-0.248894138182556	0.560361545004348	0.403589918816669	0.778064433669879	neg
ACER3	3	15	1	0	265.32	530.64	15	2	0.210526315789474	-Inf	1	-0.833333333333333	1	18	-1.02941796505186	-0.305015833313765	neg	-0.667216899182812	-1.99840483143485	-0.722352636953649	41.5351478637065	0.00125644421770469	neg	-1.36037873419425	-0.799404451411245	0.328350521924185	0.173503191285213	0.621482040295616	neg
ACKR4	2	17	3	1	354.42	708.84	15	2	0.0208921513269339	-24.5	1	-0.644736842105263	4	19	-1.01919939193908	-0.321266000839856	neg	-0.670232696389468	-2.07334713685538	-0.825058345036311	22.8952646247255	0.00180146787911128	neg	-1.44920274094584	-0.806280705089057	0.301112632575877	0.161312310875036	0.562062255532495	neg
ACO2	3	40	1	7	766.26	1532.52	15	2	0.506162464985994	-0.904761904761905	1	-0.0552325581395349	8	43	-1.27546040901706	-0.627012744954034	neg	-0.951236576985547	-2.55623901549869	-1.44618744190851	24.7241190901156	0.00199333349039099	neg	-2.0012132287036	-1.09204744944416	0.19022870340066	0.109219340335623	0.331428163837544	neg
ACOD1	9	28	2	5	470.25	940.5	15	2	1	-0.244444444444444	1	-0.0424710424710424	7	37	-0.739153451523606	-0.230047814937082	neg	-0.484600633230344	-1.79403093410462	-0.874178065097825	26.1812009532479	0.00221176176212995	neg	-1.33410449960122	-0.602311858192734	0.316360668612059	0.199748971174136	0.501094286014387	neg
ACOT13	2	5	0	1	143.55	287.1	15	2	1	1	1	0.285714285714286	1	7	-1.0145639198594	-0.124864092265314	neg	-0.569714006062358	-2.00599934170359	-0.398175405149805	21.6138465925369	0.00161823590825413	neg	-1.2020873734267	-0.69820010511481	0.372289005382292	0.16662597162305	0.831786184519277	neg
ACOT9	6	20	3	2	442.53	885.06	15	2	0.131256952169077	-4	1	-0.369230769230769	5	26	-0.809748587589579	-0.242006975973698	neg	-0.525877781781639	-1.72259658204953	-0.679310977441821	24.4490830650701	0.00171435254760954	neg	-1.20095377974568	-0.648936293128688	0.366858259591242	0.217742948769399	0.618069586608028	neg
ACP1	1	3	1	0	157.41	314.82	15	2	0.4	-Inf	1	-0.75	1	4	-1.11019316828023	-0.132233193372756	neg	-0.621213180826493	-1.93467248213149	-0.154639853611907	11.6283169877453	0.0014615689924384	neg	-1.0446561678717	-0.761010056673169	0.444686486597751	0.182614225426442	1.08286021573127	neut
ACP6	2	14	4	3	304.59	609.18	15	2	0.0450038138825324	-8.33333333333333	1	-0.446428571428571	7	16	-0.864248013287888	-0.184588426972473	neg	-0.524418220130181	-2.01999002774362	-0.770575261329699	13.0047574431151	0.0029166057342648	neg	-1.39528264453666	-0.652550241307164	0.302411256186848	0.161916780389767	0.56480528994811	neg
ACPP	6	9	1	0	368.28	736.56	15	2	0.4375	-Inf	1	-0.6	1	15	-0.821170521143433	-0.181983757691881	neg	-0.501577139417657	-1.39086188252975	-0.16862323732844	27.0246999836933	0.000948180195082472	neg	-0.779742559929096	-0.621225784390687	0.554055330118993	0.300717078571692	1.02085197798124	neut
ACR-ACRL	22	16	10	6	369.93	739.86	15	2	1	-0.212121212121212	1	-0.0460526315789473	16	38	-0.0652566777880284	0.311066209662591	neut	0.122904765937281	-0.90682978703231	-0.0765384465090246	10.4659631909737	0.00389423525475211	neg	-0.491684116770667	0.177237179806034	0.611594414099061	0.403802214903707	0.92631194141048	neg
ACRBP	32	27	7	3	488.4	976.8	15	2	0.495751035832447	-0.96875	1	-0.157627118644068	10	59	-0.189004629659691	0.167362533944683	neut	-0.0108210478575039	-0.871948669057516	-0.155148771714393	26.2431112790997	0.00205911340435278	neg	-0.513548720385955	-0.0149046458861048	0.598366341688624	0.41813572419474	0.856286918804801	neg
ACSS1	4	27	5	7	662.31	1324.62	15	2	0.087986601763955	-3.82142857142857	1	-0.287634408602151	12	31	-0.924233230373663	-0.362051097739023	neg	-0.643142164056343	-2.05318566735184	-1.0382519603336	13.2948766360188	0.00272113490159093	neg	-1.54571881384272	-0.782938165907204	0.271341841380201	0.163357285222714	0.450730846342677	neg
ACSS3	43	17	3	1	365.97	731.94	15	2	1	-0.186046511627907	1	-0.0333333333333333	4	60	-0.0744429248005014	0.307518806243961	neut	0.11653794072173	-0.450994312628816	0.335505420849658	45.2523359669275	0.00115085802568033	neut	-0.0577444458895791	0.165042239280659	0.943883798264457	0.636994052080966	1.39864670876693	neut
ACTA1	0	7	0	6	374.22	748.44	15	2	1	NA	1	0	6	7	-1.56861163521139	-0.540469130372823	neg	-1.05454038279211	-2.86382108340039	-1.10704032688437	5.50951287975205	0.00271407533935744	neg	-1.98543070514238	-1.23115067597661	0.202182283134934	0.0840296358890701	0.48668043958649	neg
ACTN2	1	20	1	1	889.02	1778.04	15	2	0.1699604743083	-19	1	-0.452380952380952	2	21	-1.53369597110949	-0.73769745785269	neg	-1.13569671448109	-2.37988142289665	-0.998213986258235	24.1560372691607	0.000840073799986296	neg	-1.68904770457744	-1.2691533706212	0.275292375194968	0.13796495814845	0.549312617123856	neg
ACTR2	0	5	0	1	391.05	782.1	15	2	1	NA	1	0	1	5	-1.66397157637625	-0.580489089162131	neg	-1.12223033276919	-2.54186507345514	-0.680507800303753	8.97836038746195	0.00113327915342159	neg	-1.61118643687944	-1.27774456238267	0.29841522140666	0.117660507005133	0.756853480660445	neg
ACTR3B	0	12	1	1	313.83	627.66	15	2	0.142857142857143	-Inf	1	-0.5	2	12	-1.41192457902562	-0.486983142160222	neg	-0.949453860592919	-2.5604199059683	-0.963549242690806	20.8887893054685	0.00152297845280399	neg	-1.76198457432955	-1.09224098419415	0.241692548291414	0.10877051635745	0.537047392018529	neg
ACTR6	0	12	0	3	393.03	786.06	15	2	1	NA	1	0	3	12	-1.56524514173495	-0.592263367598284	neg	-1.07875425466662	-2.80176693781708	-1.1379442196151	15.3153026310713	0.00170882659297213	neg	-1.96985557871609	-1.22246416423905	0.204792900316003	0.0891343548544813	0.470550599289696	neg
ACYP2	2	1	0	0	77.22	154.44	15	2	1	NA	1	NA	0	3	-0.912404963940142	0.0831361984855588	neut	-0.414634382727292	-1.69938821894169	0.147538494814005	17.0809924798038	0.00137988378264285	neut	-0.775924862063843	-0.524798105176391	0.460275498648838	0.182798806627569	1.15896824711475	neut
ADAM15	36	76	14	29	978.45	1956.9	15	2	1	-0.0191570881226053	1	-0.00415282392026578	43	112	-0.293283041659782	-0.0074289979024362	neg	-0.150356019781109	-1.55909485061355	-1.04577764869775	11.9459354651213	0.00622728386866829	neg	-1.30243624965565	-0.202328683378657	0.288408383400727	0.223123516930929	0.372803492841649	neg
ADAM17	11	41	1	16	822.69	1645.38	15	2	0.268942233574226	0.767045454545455	1	0.152714932126697	17	52	-0.811375453260949	-0.346860715106168	neg	-0.579118084183559	-2.04392047155781	-1.21779889153369	14.9906067576445	0.00334021281037422	neg	-1.63085968154575	-0.711780685778114	0.243534043447283	0.161129305022041	0.368095544797931	neg
ADAM22	3	23	0	8	945.45	1890.9	15	2	1	1	1	0.115384615384615	8	26	-1.34689014220671	-0.643568629545785	neg	-0.995229385876245	-2.41283172039866	-1.18231710403875	14.090857568173	0.0016642746211181	neg	-1.79757441221871	-1.14323816580776	0.237135445451673	0.128170731166887	0.438734841747262	neg
ADAMTS1	17	72	4	3	921.69	1843.38	15	2	0.0389952323347328	-4.64705882352941	1	-0.380417335473515	7	89	-0.820973542964964	-0.417301966483343	neg	-0.619137754724154	-1.74844420420552	-1.0665082489963	56.3046330273644	0.00133751663956936	neg	-1.40747622660091	-0.747092208851943	0.307984768185509	0.219002254006594	0.433121562268962	neg
ADAMTS20	29	76	8	7	1838.43	3676.86	15	2	0.0695786671100272	-1.99507389162562	1	-0.257142857142857	15	105	-0.705047133395865	-0.379851507021124	neg	-0.542449320208494	-1.35460477758761	-0.778843742063007	33.0259320196061	0.00121087936802381	neg	-1.06672425982531	-0.66569690664208	0.42181615427816	0.316299313054131	0.562523085001955	neg
ADAMTS5	6	32	1	3	793.32	1586.64	15	2	0.532207629768605	-0.777777777777778	1	-0.0921052631578947	4	38	-1.10291754750677	-0.528506271034239	neg	-0.815711909270503	-1.98531598917944	-0.978143429286138	34.2397732086946	0.00113971733223567	neg	-1.48172970923279	-0.954211213906808	0.305831218112939	0.184834208100264	0.506034153706119	neg
ADARB2	1	21	1	7	682.11	1364.22	15	2	0.468965517241379	-2	1	-0.0795454545454545	8	22	-1.40818360050808	-0.620061330498922	neg	-1.0141224655035	-2.66327690949748	-1.30118928113336	12.7634934106728	0.00216821449610217	neg	-1.98223309531542	-1.16369437604082	0.198475471268971	0.100457025220035	0.39215540989109	neg
ADAT2	5	5	0	1	94.38	188.76	15	2	1	1	1	0.5	1	10	-0.599894017541036	0.137144993206858	neut	-0.231374512167089	-1.54221959721351	-0.146928400811067	35.6180721852052	0.00174444709204936	neg	-0.844573999012287	-0.302085346334332	0.429739912548365	0.213905579654492	0.863354710034852	neg
ADCK2	8	18	1	8	313.83	627.66	15	2	0.390714238977015	0.71875	1	0.196581196581197	9	26	-0.620158186352406	-0.07548395855166	neg	-0.347821072452033	-1.8471116505946	-0.835165833910928	15.6576749441385	0.00373205000770573	neg	-1.34113874225276	-0.446677687770156	0.299045488089007	0.180307222542057	0.495990967246697	neg
ADCY1	2	19	0	1	652.41	1304.82	15	2	1	1	1	0.0952380952380952	1	21	-1.42029447798352	-0.643117821925851	neg	-1.03170614995468	-2.29366371551839	-0.945788233021543	31.5041499042068	0.00086945010951453	neg	-1.61972597426997	-1.16765166240444	0.285541665963134	0.14554063137008	0.560213193320367	neg
ADCY2	5	31	4	2	1057.32	2114.64	15	2	0.0134908286384538	-11.4	1	-0.527777777777778	6	36	-1.09958914835367	-0.546814528797631	neg	-0.823201838575652	-1.85856010711832	-0.867951005125275	24.8767716296284	0.00108051988941399	neg	-1.3632555561218	-0.964311767318291	0.345426184195203	0.210501158756711	0.566844905368658	neg
ADCY3	5	39	5	28	1115.4	2230.8	15	2	0.736683550991731	-0.392857142857143	1	-0.0378787878787879	33	44	-1.02429562201339	-0.493592682952012	neg	-0.758944152482701	-2.44229393152835	-1.52245792972189	6.24500215752492	0.00511226140155283	neg	-1.98237593062512	-0.922650577343953	0.18348546391464	0.115838378724425	0.290623933042087	neg
ADCY8	5	24	3	4	866.91	1733.82	15	2	0.167457305502846	-2.6	1	-0.25615763546798	7	29	-1.0380860347085	-0.464449301762788	neg	-0.751267668235642	-1.87124794302303	-0.82873339753169	18.4401585646975	0.00140198551455045	neg	-1.34999067027736	-0.893470818604882	0.342069525390199	0.203111830711664	0.576088785336864	neg
ADCYAP1	0	3	1	0	152.46	304.92	15	2	0.25	-Inf	1	-1	1	3	-1.34434210753248	-0.236253538859292	neg	-0.790297823195887	-2.24794467444462	-0.320943884833668	8.86551031326513	0.00154504005188545	neg	-1.28444427963914	-0.946225314144184	0.371567061967293	0.141770069175084	0.973804537010299	neg
ADCYAP1R1	0	16	1	2	451.44	902.88	15	2	0.157894736842105	-Inf	1	-0.333333333333333	3	16	-1.48528913117717	-0.594742072526374	neg	-1.04001560185177	-2.66055375970876	-1.13008216867945	19.9721012245722	0.00152020172546791	neg	-1.8953179641941	-1.18086639521607	0.217692989859675	0.101303229890582	0.467928871506717	neg
ADGB	84	70	16	8	1681.02	3362.04	15	2	0.376682433298575	-0.666666666666667	1	-0.121212121212121	24	154	-0.214426326832421	0.0356083668351038	neut	-0.0894089799986588	-0.653433680253422	-0.17983025629348	27.8291521046009	0.00146125388869171	neg	-0.416631968273451	-0.120736736745952	0.659263258892991	0.520245112383614	0.83541157277573	neg
ADGRB1	3	47	1	15	1292.94	2585.88	15	2	1	-0.0444444444444445	1	-0.0025	16	50	-1.39628412216651	-0.755708092804045	neg	-1.07599610748528	-2.72875347394463	-1.63774596425158	14.4587201519582	0.00237819126088759	neg	-2.1832497190981	-1.22095351533827	0.165358722956153	0.0958415111851822	0.285319222552995	neg
ADGRB3	2	20	0	3	594.99	1189.98	15	2	1	1	1	0.0909090909090909	3	22	-1.3672889589491	-0.597328287237865	neg	-0.982308623093485	-2.41374158825374	-1.07817206474649	24.552174175647	0.0012879437823085	neg	-1.74595682650012	-1.12247288698131	0.248019373275177	0.127194612861642	0.483617916015991	neg
ADGRF4	19	36	4	1	671.22	1342.44	15	2	0.0661509120551232	-6.57894736842105	1	-0.454545454545455	5	55	-0.605045814983011	-0.190449931943624	neg	-0.397747873463318	-1.26590377496	-0.514234736631045	44.4781111041076	0.00116752087654972	neg	-0.890069255795523	-0.500993184872833	0.477581870133595	0.327965974031768	0.695463833495564	neg
ADGRF5	108	57	9	6	1330.56	2661.12	15	2	0.778654499797087	0.208333333333333	1	0.0545454545454546	15	165	-0.111291750171844	0.14772699031456	neut	0.0182176200713582	-0.392843168023157	0.101673257527045	41.4040153688007	0.0010722644610936	neut	-0.145584955248056	0.0251615029948598	0.864515320061264	0.675134410295896	1.10705140781707	neut
ADGRG2	46	43	12	7	1295.91	2591.82	15	2	0.450669195466713	-0.602484472049689	1	-0.114725014784151	19	89	-0.298377434734331	-0.00505253161489516	neg	-0.151714983174613	-0.778818736948254	-0.193206623554553	20.7990787853381	0.00156140313231683	neg	-0.486012680251403	-0.202512604928618	0.652535214315176	0.486894651656382	0.874515342354016	neg
ADGRG6	97	66	6	4	2221.56	4443.12	15	2	1	-0.0206185567010309	1	-0.00490797546012267	10	163	-0.366044107132755	-0.0973348863998729	neg	-0.231689496766314	-0.399722212246113	0.0887229769476757	58.2821646697286	0.000530003552477515	neut	-0.155499617649219	-0.301716418108014	0.935771657071824	0.733019632952738	1.19463663966217	neut
ADGRG7	41	28	3	3	773.19	1546.38	15	2	0.686509951973969	0.317073170731707	1	0.0942028985507246	6	69	-0.311335143831797	0.0381065213004425	neut	-0.136614311265677	-0.664335720797848	0.02223895696463	39.9303501583387	0.000976525271581483	neut	-0.321048381916609	-0.182021472944334	0.725408403150384	0.514605037654297	1.02246879736713	neut
ADHFE1	4	16	7	3	455.4	910.8	15	2	0.0146919214385481	-8.33333333333333	1	-0.5	10	20	-0.697695614329586	-0.139174351974852	neg	-0.418434983152219	-1.64316574686664	-0.564750705494563	10.6347982056519	0.00266590565394717	neg	-1.1039582261806	-0.533334247365011	0.389586000741312	0.227209321920195	0.668001572570882	neg
ADI1	3	6	1	3	179.19	358.38	15	2	1	0.333333333333333	1	0.0833333333333333	4	9	-0.797653442119858	-0.0330539234561461	neg	-0.415353682788002	-1.86471286500037	-0.42651065243681	12.8557287827449	0.00261409059306817	neg	-1.14561175871859	-0.52788083256284	0.373048303214915	0.181748960242152	0.765710012002097	neg
ADIPOR2	3	9	0	1	382.14	764.28	15	2	1	1	1	0.25	1	12	-1.13096059469344	-0.358082490783362	neg	-0.744521542738403	-1.90077250406819	-0.498557416015876	22.3231320672771	0.00106014599631597	neg	-1.19966496004203	-0.88453711594894	0.396422717477985	0.196632680125367	0.799145201833717	neg
ADNP2	21	44	1	11	1063.26	2126.52	15	2	0.161921688445566	0.80952380952381	1	0.23974358974359	12	65	-0.666420137615667	-0.283397223126779	neg	-0.474908680371223	-1.49557576831087	-0.797284403716475	24.6313217518753	0.00174663112916469	neg	-1.14643008601367	-0.591696299217588	0.380379838897053	0.268271050733441	0.539308903956094	neg
