gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div
ABCB1	44	44	5	6	1250.37	2500.74	15	1	1	0.166666666666667	1	0.0454545454545455	11	88
ABCB10	6	25	0	2	571.56	1143.12	15	1	1	1	1	0.193548387096774	2	31
ABCB11	12	40	2	6	1291.29	2582.58	15	1	1	-0.111111111111111	1	-0.0192307692307692	8	52
ABCB1LA	32	38	6	6	1287.66	2575.32	15	1	1	-0.1875	1	-0.0428571428571429	12	70
ABCB5	21	45	7	3	1324.62	2649.24	15	1	0.0323411252543357	-4	0.784275503573749	-0.381818181818182	10	66
ABCB6	3	13	4	17	554.07	1108.14	15	1	1	-0.0196078431372548	1	-0.00297619047619047	21	16
ABCB9	5	33	5	8	727.32	1454.64	15	1	0.0986724427524597	-3.125	0.971353639774823	-0.253036437246964	13	38
ABCC1	15	55	8	2	1499.19	2998.38	15	1	0.000504262993364413	-13.6666666666667	0.179013362644367	-0.585714285714286	10	70
ABCC10	56	63	17	12	1524.6	3049.2	15	1	0.304150547693119	-0.59375	1	-0.115618661257606	29	119
ABCC13	35	55	11	3	1269.84	2539.68	15	1	0.00801610656070503	-4.76190476190476	0.529186532206378	-0.396825396825397	14	90
ABCC2	4	50	3	9	675.18	1350.36	15	1	0.106623479640402	-3.16666666666667	0.983875031494079	-0.175925925925926	12	54
ABCC3	12	55	4	10	1514.7	3029.4	15	1	0.459999947077398	-0.833333333333333	1	-0.106609808102345	14	67
ABCC5	1	47	5	7	1438.47	2876.94	15	1	0.000777806585429088	-32.5714285714286	0.234703137153227	-0.395833333333333	12	48
ABCC6	46	58	5	3	1375.11	2750.22	15	1	0.465179115698659	-1.10144927536232	1	-0.182692307692308	8	104
ABCC8	5	53	4	5	1517.01	3034.02	15	1	0.0148150278957592	-7.48	0.641111817849989	-0.35823754789272	9	58
ABCC9	14	48	5	5	1618.65	3237.3	15	1	0.11581662148904	-2.42857142857143	1	-0.274193548387097	10	62
ABCD2	4	23	0	10	630.96	1261.92	15	1	0.55712014535544	1	1	0.148148148148148	10	27
ABCD3	0	17	2	3	632.61	1265.22	15	1	0.0432900432900433	-Inf	0.818982480424487	-0.4	5	17
ABCD4	7	25	1	8	596.64	1193.28	15	1	0.658571311278402	0.553571428571429	1	0.107638888888889	9	32
ABCE1	0	15	4	3	594	1188	15	1	0.00478468899521532	-Inf	0.460299276725364	-0.571428571428571	7	15
ABCF2	2	13	0	7	593.34	1186.68	15	1	1	1	1	0.133333333333333	7	15
ABCF3	4	33	4	8	616.77	1233.54	15	1	0.0875681124589327	-3.125	0.951277979139867	-0.225225225225225	12	37
ABCG1	0	26	0	1	651.75	1303.5	15	1	1	NA	1	0	1	26
ABCG2	7	18	1	3	744.48	1488.96	15	1	1	0.142857142857143	1	0.03	4	25
ABCG4	1	14	4	8	548.46	1096.92	15	1	0.138981791155704	-6	1	-0.266666666666667	12	15
ABHD10	5	9	2	1	256.08	512.16	15	1	0.536764705882353	-2.6	1	-0.309523809523809	3	14
ABHD11	5	11	2	0	197.01	394.02	15	1	0.137254901960784	-Inf	1	-0.6875	2	16
ABHD12	0	22	2	10	353.43	706.86	15	1	0.117647058823529	-Inf	1	-0.166666666666667	12	22
ABHD12B	3	9	1	7	269.28	538.56	15	1	0.618575851393189	0.571428571428571	1	0.125	8	12
ABHD13	2	4	0	0	334.62	669.24	15	1	1	NA	1	NA	0	6
ABHD14A	8	7	2	4	175.56	351.12	15	1	0.635117204776648	0.5625	1	0.2	6	15
ABHD17A	0	14	0	5	289.74	579.48	15	1	1	NA	1	0	5	14
ABHD17B	0	8	0	0	286.11	572.22	15	1	1	NA	1	NA	0	8
ABHD17C	1	9	0	2	267.96	535.92	15	1	1	1	1	0.1	2	10
ABHD18	3	16	2	0	377.19	754.38	15	1	0.0476190476190476	-Inf	0.828231827900648	-0.842105263157895	2	19
ABHD2	1	16	0	2	421.74	843.48	15	1	1	1	1	0.0588235294117647	2	17
ABHD5	2	22	0	2	330.99	661.98	15	1	1	1	1	0.0833333333333333	2	24
ABHD6	0	8	0	9	334.62	669.24	15	1	1	NA	1	0	9	8
ABHD8	1	10	2	7	430.65	861.3	15	1	0.565789473684211	-1.85714285714286	1	-0.131313131313131	9	11
ABI2	0	11	1	1	466.95	933.9	15	1	0.153846153846154	-Inf	1	-0.5	2	11
ABI3	13	13	1	0	342.87	685.74	15	1	1	-Inf	1	-0.5	1	26
ABI3BP	28	33	2	2	1148.07	2296.14	15	1	1	-0.178571428571429	1	-0.040983606557377	4	61
ABL2	2	41	5	8	1123.65	2247.3	15	1	0.00533666296707363	-11.8125	0.467685236262114	-0.338103756708408	13	43
ABLIM1	9	20	1	4	590.04	1180.08	15	1	1	0.444444444444444	1	0.110344827586207	5	29
ABLIM2	4	11	1	0	252.45	504.9	15	1	0.3125	-Inf	1	-0.733333333333333	1	15
ABLIM3	8	31	0	0	575.19	1150.38	15	1	1	NA	1	NA	0	39
ABR	1	29	0	15	759.99	1519.98	15	1	1	1	1	0.0333333333333333	15	30
ABRA	20	21	3	4	404.58	809.16	15	1	1	0.2125	1	0.0592334494773519	7	41
ABRACL	1	3	0	2	81.18	162.36	15	1	1	1	1	0.25	2	4
ABTB1	1	11	0	7	453.75	907.5	15	1	1	1	1	0.0833333333333333	7	12
ACAA1	7	27	0	8	387.09	774.18	15	1	0.312396231523318	1	1	0.205882352941176	8	34
ACAA2	3	39	1	13	370.26	740.52	15	1	1	0	1	0	14	42
ACACA	0	103	3	18	2275.02	4550.04	15	1	0.00428860713779005	-Inf	0.454065685553736	-0.142857142857143	21	103
ACACB	18	109	9	42	2329.47	4658.94	15	1	0.644527536378233	-0.297619047619048	1	-0.0347383047707272	51	127
ACAD11	13	21	5	6	569.25	1138.5	15	1	0.732294357484673	-0.346153846153846	1	-0.072192513368984	11	34
ACAD6L	4	21	2	3	393.36	786.72	15	1	0.254347185381668	-2.5	1	-0.24	5	25
ACAD8	2	16	1	5	375.87	751.74	15	1	1	-0.6	1	-0.0555555555555556	6	18
ACAD9	3	21	0	5	523.71	1047.42	15	1	1	1	1	0.125	5	24
ACADSB	1	16	0	0	328.68	657.36	15	1	1	NA	1	NA	0	17
ACAN	48	88	22	21	2058.87	4117.74	15	1	0.0740759364614623	-0.920634920634921	0.913861472365723	-0.158686730506156	43	136
ACAP2	5	27	3	1	791.34	1582.68	15	1	0.027807486631016	-15.2	0.761210061313465	-0.59375	4	32
ACAP3	0	36	3	16	840.84	1681.68	15	1	0.0369353916523728	-Inf	0.788413232354762	-0.157894736842105	19	36
ACAT1	7	31	3	7	459.03	918.06	15	1	0.414318921520085	-0.897959183673469	1	-0.115789473684211	10	38
ACAT2	2	14	1	1	373.89	747.78	15	1	0.313725490196078	-6	1	-0.375	2	16
ACBD4	14	21	4	7	312.51	625.02	15	1	1	0.142857142857143	1	0.0363636363636364	11	35
ACBD5	10	11	5	3	462.99	925.98	15	1	0.681659170414793	-0.833333333333333	1	-0.148809523809524	8	21
ACCS	8	35	2	12	864.27	1728.54	15	1	1	0.270833333333333	1	0.0431893687707641	14	43
ACCSL	68	25	7	10	569.58	1139.16	15	1	0.020560850365242	0.742647058823529	0.70665477455864	0.319418089816572	17	93
ACD	43	27	13	8	587.07	1174.14	15	1	1	-0.0203488372093024	1	-0.00476190476190474	21	70
ACE	19	58	10	23	1236.51	2473.02	15	1	0.63764289473311	-0.327231121281464	1	-0.0562770562770563	33	77
ACE2	29	24	3	7	798.93	1597.86	15	1	0.183638451505257	0.645320197044335	1	0.247169811320755	10	53
ACER3	2	10	1	0	231.33	462.66	15	1	0.230769230769231	-Inf	1	-0.833333333333333	1	12
ACKR1	14	9	0	2	240.57	481.14	15	1	0.183333333333333	1	1	0.608695652173913	2	23
ACKR3	2	21	0	1	361.35	722.7	15	1	1	1	1	0.0869565217391304	1	23
ACKR4	5	20	3	1	354.42	708.84	15	1	0.0524609490126731	-11	0.843251957917679	-0.55	4	25
ACLY	2	43	1	17	1068.54	2137.08	15	1	1	-0.264705882352941	1	-0.0111111111111111	18	45
ACMSD	1	5	1	3	330.99	661.98	15	1	1	-0.666666666666667	1	-0.0833333333333333	4	6
ACO1	7	35	0	6	881.1	1762.2	15	1	0.572523255487995	1	1	0.166666666666667	6	42
ACO2	1	35	1	7	766.26	1532.52	15	1	0.334038054968287	-4	1	-0.0972222222222222	8	36
ACOD1	8	14	2	5	470.25	940.5	15	1	1	0.3	1	0.0779220779220779	7	22
ACOT11	4	6	1	6	388.41	776.82	15	1	0.338235294117647	0.75	1	0.257142857142857	7	10
ACOT12	11	23	2	0	484.77	969.54	15	1	0.123809523809524	-Inf	1	-0.676470588235294	2	34
ACOT13	2	7	0	1	143.55	287.1	15	1	1	1	1	0.222222222222222	1	9
ACOT2L	3	9	1	1	377.19	754.38	15	1	0.505494505494505	-2	1	-0.25	2	12
ACOT4	19	22	7	11	700.26	1400.52	15	1	0.776677719098239	0.263157894736842	1	0.0745257452574526	18	41
ACOT7	1	12	1	1	270.93	541.86	15	1	0.257142857142857	-11	1	-0.423076923076923	2	13
ACOT8	0	8	4	3	206.91	413.82	15	1	0.0256410256410256	-Inf	0.761210061313465	-0.571428571428571	7	8
ACOT9	4	20	3	2	442.53	885.06	15	1	0.0747421161214264	-6.5	0.91494659390022	-0.433333333333333	5	24
ACOX1	40	75	12	31	1677.39	3354.78	15	1	0.45243573621475	0.274193548387097	1	0.0687563195146613	43	115
ACOX2	22	19	2	2	716.76	1433.52	15	1	1	0.136363636363636	1	0.0365853658536586	4	41
ACOX3	15	27	1	4	697.95	1395.9	15	1	0.648356290569573	0.55	1	0.157142857142857	5	42
ACP1	1	3	1	0	143.22	286.44	15	1	0.4	-Inf	1	-0.75	1	4
ACP6	6	8	4	3	314.82	629.64	15	1	0.659442724458204	-0.777777777777778	1	-0.142857142857143	7	14
ACPP	13	9	1	0	368.28	736.56	15	1	1	-Inf	1	-0.409090909090909	1	22
ACR-ACRL	30	14	8	5	539.55	1079.1	15	1	0.741929445461415	0.253333333333333	1	0.0664335664335663	13	44
ACRBP	30	20	7	3	478.5	957	15	1	0.726954999161186	-0.555555555555556	1	-0.1	10	50
ACSBG1	9	33	2	3	689.37	1378.74	15	1	0.577587505109395	-1.44444444444444	1	-0.185714285714286	5	42
ACSF2	16	20	4	4	391.38	782.76	15	1	1	-0.25	1	-0.0555555555555556	8	36
ACSF3	25	39	13	18	617.76	1235.52	15	1	0.825806385557586	-0.126666666666667	1	-0.0287298387096774	31	64
ACSL3	13	35	2	8	728.31	1456.62	15	1	1	0.326923076923077	1	0.0708333333333333	10	48
ACSL4	4	25	1	3	664.29	1328.58	15	1	0.499633431085044	-1.08333333333333	1	-0.112068965517241	4	29
ACSL5	13	18	0	4	677.16	1354.32	15	1	0.273529411764706	1	1	0.419354838709677	4	31
ACSL6	2	32	2	6	697.29	1394.58	15	1	0.15797373358349	-4.33333333333333	1	-0.191176470588235	8	34
ACSM3	11	25	0	1	573.21	1146.42	15	1	1	1	1	0.305555555555556	1	36
ACSS1	9	23	5	7	642.18	1284.36	15	1	0.475285806151257	-0.825396825396825	1	-0.135416666666667	12	32
ACSS3	29	15	5	1	363.99	727.98	15	1	0.649787611621892	-1.58620689655172	1	-0.174242424242424	6	44
ACT85CL	7	23	0	5	374.22	748.44	15	1	0.558500086251509	1	1	0.233333333333333	5	30
ACTA1	0	6	0	5	333.96	667.92	15	1	1	NA	1	0	5	6
ACTA2	0	13	0	1	374.22	748.44	15	1	1	NA	1	0	1	13
ACTB	0	12	0	3	372.24	744.48	15	1	1	NA	1	0	3	12
ACTBL2L	0	10	0	1	374.22	748.44	15	1	1	NA	1	0	1	10
ACTC1	0	14	0	1	368.61	737.22	15	1	1	NA	1	0	1	14
ACTC2L	0	21	0	12	314.49	628.98	15	1	1	NA	1	0	12	21
ACTG1	0	11	0	16	315.15	630.3	15	1	1	NA	1	0	16	11
ACTG2	0	14	0	0	337.26	674.52	15	1	1	NA	1	NA	0	14
ACTL6A	4	17	0	2	397.65	795.3	15	1	1	1	1	0.19047619047619	2	21
ACTN1	0	16	1	1	858.66	1717.32	15	1	0.111111111111111	-Inf	0.98538656216834	-0.5	2	16
ACTN2	1	15	1	1	889.02	1778.04	15	1	0.215686274509804	-14	1	-0.4375	2	16
ACTN4	0	6	0	2	149.82	299.64	15	1	1	NA	1	0	2	6
ACTR10-ACTR10L	2	20	2	4	410.52	821.04	15	1	0.191452991452991	-4	1	-0.242424242424242	6	22
ACTR1A	0	16	1	9	357.39	714.78	15	1	0.384615384615385	-Inf	1	-0.1	10	16
ACTR2	0	6	0	1	375.21	750.42	15	1	1	NA	1	0	1	6
ACTR3	0	4	0	2	400.29	800.58	15	1	1	NA	1	0	2	4
ACTR3B	0	9	0	1	299.31	598.62	15	1	1	NA	1	0	1	9
ACTR5	3	30	1	8	550.11	1100.22	15	1	1	-0.25	1	-0.0202020202020202	9	33
ACTR6	0	11	0	2	348.15	696.3	15	1	1	NA	1	0	2	11
ACTR8	0	13	2	2	562.32	1124.64	15	1	0.0441176470588235	-Inf	0.822543273817637	-0.5	4	13
ACTRT2	16	20	2	4	373.23	746.46	15	1	0.685159859742658	0.375	1	0.111111111111111	6	36
ACVR1	3	14	2	0	527.01	1054.02	15	1	0.0584795321637427	-Inf	0.861744483565755	-0.823529411764706	2	17
ACVR1B	0	23	0	6	449.46	898.92	15	1	1	NA	1	0	6	23
ACVR1C	3	24	4	9	460.68	921.36	15	1	0.186616182746213	-2.55555555555556	1	-0.196581196581197	13	27
ACVR2A	1	26	1	5	499.95	999.9	15	1	0.335227272727273	-4.2	1	-0.12962962962963	6	27
ACVRL1	3	9	3	10	389.73	779.46	15	1	1	0.1	1	0.0192307692307692	13	12
ACY1	0	13	3	10	362.67	725.34	15	1	0.22	-Inf	1	-0.230769230769231	13	13
ACYP1	0	1	2	2	50.49	100.98	15	1	1	-Inf	1	-0.5	4	1
ACYP2	1	1	0	0	77.22	154.44	15	1	1	NA	1	NA	0	2
ADA	6	15	5	8	351.45	702.9	15	1	0.709399332591769	-0.5625	1	-0.0989010989010989	13	21
ADAD1	24	34	7	4	576.18	1152.36	15	1	0.201913767644598	-1.47916666666667	1	-0.22257053291536	11	58
ADAL	6	14	0	3	324.06	648.12	15	1	0.539243365330322	1	1	0.3	3	20
ADAM10	4	18	1	3	724.35	1448.7	15	1	1	-0.5	1	-0.0681818181818182	4	22
ADAM12	7	29	3	6	820.38	1640.76	15	1	0.392931641192679	-1.07142857142857	1	-0.138888888888889	9	36
ADAM15	38	62	14	29	994.95	1989.9	15	1	0.574543208366104	0.212341197822142	1	0.0544186046511628	43	100
ADAM17	8	33	1	15	788.7	1577.4	15	1	0.420237666250034	0.725	1	0.132621951219512	16	41
ADAM19	20	44	6	4	851.4	1702.8	15	1	0.15066458605248	-2.3	1	-0.2875	10	64
ADAM20	39	49	5	17	762.3	1524.6	15	1	0.0884671584639223	0.630467571644042	0.953024314709457	0.215909090909091	22	88
ADAM22	2	25	0	8	873.18	1746.36	15	1	1	1	1	0.0740740740740741	8	27
ADAM23	5	21	0	0	893.64	1787.28	15	1	1	NA	1	NA	0	26
ADAM28	22	39	4	6	768.24	1536.48	15	1	1	-0.181818181818182	1	-0.039344262295082	10	61
ADAM33	10	35	7	23	813.12	1626.24	15	1	1	-0.0652173913043479	1	-0.0111111111111111	30	45
ADAM5P	15	29	5	7	791.01	1582.02	15	1	0.737436013248815	-0.380952380952381	1	-0.0757575757575758	12	44
ADAM8	79	36	3	1	721.38	1442.76	15	1	1	-0.367088607594937	1	-0.0630434782608695	4	115
ADAM9	22	27	10	4	876.48	1752.96	15	1	0.128862485066295	-2.06818181818182	1	-0.26530612244898	14	49
ADAM9L-LOC100857794	15	5	2	1	219.78	439.56	15	1	1	0.333333333333333	1	0.0833333333333334	3	20
ADAMTS1	11	71	3	3	864.93	1729.86	15	1	0.0488083842430518	-5.45454545454545	0.833370237838852	-0.365853658536585	6	82
ADAMTS12	59	65	6	2	1604.13	3208.26	15	1	0.161488603202072	-2.30508474576271	1	-0.274193548387097	8	124
ADAMTS13	40	38	11	5	1450.35	2900.7	15	1	0.273180196168906	-1.09	1	-0.174679487179487	16	78
ADAMTS15	4	40	3	22	798.93	1597.86	15	1	0.698022772229742	-0.363636363636364	1	-0.0290909090909091	25	44
ADAMTS17	1	26	2	5	1062.27	2124.54	15	1	0.100601604278075	-9.4	0.97452757916241	-0.248677248677249	7	27
ADAMTS18	13	34	2	0	1237.5	2475	15	1	0.0892857142857143	-Inf	0.953786405978059	-0.723404255319149	2	47
ADAMTS19	7	19	2	0	818.73	1637.46	15	1	0.0952380952380952	-Inf	0.960983694935281	-0.730769230769231	2	26
ADAMTS20	39	51	8	6	1789.26	3578.52	15	1	0.394199192514126	-0.743589743589744	1	-0.138095238095238	14	90
ADAMTS5	3	31	0	1	733.92	1467.84	15	1	1	1	1	0.0882352941176471	1	34
ADAMTS6	12	24	4	0	1235.19	2470.38	15	1	0.0199146514935989	-Inf	0.694710530426989	-0.666666666666667	4	36
ADAMTS7	49	84	13	33	1680.69	3361.38	15	1	0.369278145334697	0.324675324675325	1	0.085812356979405	46	133
ADAMTS8	2	38	2	22	702.9	1405.8	15	1	0.626803656417617	-0.727272727272727	1	-0.0333333333333333	24	40
ADAMTS9	10	70	6	25	1852.95	3705.9	15	1	0.375680447043056	-0.68	1	-0.0685483870967742	31	80
ADAMTSL2	7	32	5	16	819.39	1638.78	15	1	0.73686547013852	-0.428571428571429	1	-0.0586080586080586	21	39
ADAMTSL2L	20	36	6	7	959.64	1919.28	15	1	0.535085524395871	-0.542857142857143	1	-0.104395604395604	13	56
ADAMTSL3	26	58	6	4	1701.48	3402.96	15	1	0.0842829642333897	-2.34615384615385	0.949431371776132	-0.29047619047619	10	84
ADAMTSL5	7	17	4	10	297.99	595.98	15	1	1	0.0285714285714286	1	0.00595238095238099	14	24
ADAP1	0	11	0	1	347.49	694.98	15	1	1	NA	1	0	1	11
ADAP2	7	7	1	1	333.3	666.6	15	1	1	0	1	0	2	14
ADAR	49	61	11	13	1153.35	2306.7	15	1	1	-0.053375196232339	1	-0.0128787878787879	24	110
ADARB1	4	17	4	4	654.72	1309.44	15	1	0.163780347588444	-3.25	1	-0.30952380952381	8	21
ADARB2	4	21	1	7	677.49	1354.98	15	1	1	0.25	1	0.035	8	25
ADAT1	14	20	7	3	486.75	973.5	15	1	0.155485298990687	-2.33333333333333	1	-0.288235294117647	10	34
ADAT2	2	5	0	0	43.56	87.12	15	1	1	NA	1	NA	0	7
ADCK2	4	17	1	8	313.83	627.66	15	1	1	0.46875	1	0.0793650793650794	9	21
ADCY1	3	20	0	1	652.41	1304.82	15	1	1	1	1	0.130434782608696	1	23
ADCY2	8	18	4	2	1063.26	2126.52	15	1	0.165057736108904	-3.5	1	-0.358974358974359	6	26
ADCY3	0	14	4	20	888.36	1776.72	15	1	0.275865339023234	-Inf	1	-0.166666666666667	24	14
ADCY7	25	46	5	6	1034.22	2068.44	15	1	0.519968491728158	-0.533333333333333	1	-0.102432778489117	11	71
ADCY8	5	20	3	4	846.12	1692.24	15	1	0.326507135183442	-2	1	-0.228571428571429	7	25
ADCYAP1	0	1	1	0	91.08	182.16	15	1	1	-Inf	1	-1	1	1
ADCYAP1R1	1	16	1	2	466.29	932.58	15	1	0.28421052631579	-7	1	-0.274509803921569	3	17
ADD1	2	7	1	0	658.35	1316.7	15	1	0.3	-Inf	1	-0.777777777777778	1	9
ADD3	1	22	4	1	703.89	1407.78	15	1	0.00118030118030118	-87	0.254094564439392	-0.756521739130435	5	23
ADGB	81	67	15	8	1628.88	3257.76	15	1	0.37616434630016	-0.550925925925926	1	-0.104876615746181	23	148
ADGRA1L	2	19	0	3	706.86	1413.72	15	1	1	1	1	0.0952380952380952	3	21
ADGRA2	1	25	9	21	732.27	1464.54	15	1	0.0140724696141002	-9.71428571428571	0.628451090139802	-0.261538461538461	30	26
ADGRA3L	12	43	5	4	1234.53	2469.06	15	1	0.0481685356903728	-3.47916666666667	0.829468895324472	-0.337373737373737	9	55
ADGRB1	3	37	1	15	1290.63	2581.26	15	1	1	0.177777777777778	1	0.0125	16	40
ADGRB2	4	34	5	24	919.71	1839.42	15	1	0.485258772489605	-0.770833333333333	1	-0.0671506352087115	29	38
ADGRB3	4	18	0	3	594.99	1189.98	15	1	1	1	1	0.181818181818182	3	22
ADGRD1	7	23	2	6	898.92	1797.84	15	1	1	-0.0952380952380953	1	-0.0166666666666667	8	30
ADGRD2	21	39	10	9	1075.47	2150.94	15	1	0.188408349981184	-1.06349206349206	1	-0.176315789473684	19	60
ADGRF4	22	28	4	1	670.89	1341.78	15	1	0.177673890215511	-4.09090909090909	1	-0.36	5	50
ADGRF5	83	53	9	6	1330.56	2661.12	15	1	1	0.0421686746987951	1	0.0102941176470589	15	136
ADGRG1	14	26	3	2	664.29	1328.58	15	1	0.350435724230392	-1.78571428571429	1	-0.25	5	40
ADGRG2	40	38	12	7	1291.95	2583.9	15	1	0.444698294067203	-0.628571428571429	1	-0.118758434547908	19	78
ADGRG3	17	15	1	2	545.49	1090.98	15	1	0.602597402597403	0.558823529411765	1	0.197916666666667	3	32
ADGRG4	39	26	7	5	1086.03	2172.06	15	1	1	0.0666666666666667	1	0.0166666666666666	12	65
ADGRG5	50	17	3	0	486.09	972.18	15	1	1	-Inf	1	-0.253731343283582	3	67
ADGRG6	86	59	6	4	2221.56	4443.12	15	1	1	-0.0290697674418605	1	-0.00689655172413794	10	145
ADGRG7	30	23	3	3	745.8	1491.6	15	1	1	0.233333333333333	1	0.0660377358490566	6	53
ADGRL2	7	29	4	4	1482.03	2964.06	15	1	0.091852517651843	-3.14285714285714	0.953786405978059	-0.305555555555556	8	36
ADGRL3	9	36	2	4	1046.76	2093.52	15	1	0.598095223288205	-1	1	-0.133333333333333	6	45
ADGRV1	153	225	40	31	5782.59	11565.18	15	1	0.0182413058508952	-0.897533206831119	0.677255339142531	-0.158618376928236	71	378
ADH1C	2	10	1	3	378.18	756.36	15	1	1	-0.666666666666667	1	-0.0833333333333333	4	12
ADH5	2	11	3	5	367.29	734.58	15	1	0.325372254164824	-2.3	1	-0.221153846153846	8	13
ADHFE1	5	13	7	3	458.37	916.74	15	1	0.0496676473793179	-5.06666666666667	0.838445459955758	-0.422222222222222	10	18
ADI1	2	7	1	3	179.19	358.38	15	1	1	-0.166666666666667	1	-0.0277777777777778	4	9
ADIPOQ	6	12	1	12	243.54	487.08	15	1	0.191160548757879	0.833333333333333	1	0.256410256410256	13	18
ADIPOR1	0	17	1	5	296.01	592.02	15	1	0.260869565217391	-Inf	1	-0.166666666666667	6	17
ADIPOR2	2	8	0	1	383.13	766.26	15	1	1	1	1	0.2	1	10
ADIRF	0	1	1	0	76.23	152.46	15	1	1	-Inf	1	-1	1	1
ADK	7	11	0	0	373.23	746.46	15	1	1	NA	1	NA	0	18
ADM	1	1	1	2	153.45	306.9	15	1	1	0.5	1	0.166666666666667	3	2
